name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Andaman and Nicobar Islands,03-11-2022,30.5,24.3,27.8,34.6,24.3,28.4,21.5,73,0,0,0,,0,0,12.2,10.8,54.8,1011.2,71,17.2,271.5,23.4,9,10,2022-11-03T05:11:45,2022-11-03T16:53:20,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTVS,43333099999"
Andaman and Nicobar Islands,04-11-2022,30.5,24.6,27.8,32.4,24.6,28.3,21.3,72.8,0,0,0,,0,0,16.6,11.2,62.3,1012.1,51.5,17.5,269.8,23.3,9,10,2022-11-04T05:12:01,2022-11-04T16:53:04,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTVS,43333099999,remote"
Andaman and Nicobar Islands,05-11-2022,30.7,25.3,28.2,33,25.3,28.9,20.9,68.3,0,0,0,,0,0,24.5,18,69.5,1013.4,62.9,17.8,267.4,23.2,9,10,2022-11-05T05:12:18,2022-11-05T16:52:49,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTVS,43333099999"
Andaman and Nicobar Islands,06-11-2022,29.9,27,28.3,34.5,27,29.4,21.6,70.7,0,0,0,,0,0,24.8,25.2,74.9,1013.3,79,17.2,240.6,20.9,9,10,2022-11-06T05:12:36,2022-11-06T16:52:36,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTVS,43333099999"
Andaman and Nicobar Islands,07-11-2022,30.1,25.9,28.2,35.6,25.9,29.4,22.6,74.2,0.3,100,8.33,rain,0,0,25.9,21.6,52.1,1012.3,93.6,16.9,238.3,20.6,9,10,2022-11-07T05:12:55,2022-11-07T16:52:23,0.49,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,08-11-2022,27.7,25.1,26.2,30.2,25.1,26.3,23.2,85.7,9.8,100,12.5,rain,0,0,32.8,39.6,97.3,1011.8,96.9,12.2,43,3.7,2,10,2022-11-08T05:13:14,2022-11-08T16:52:11,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,09-11-2022,29.8,25.3,27.9,34,25.3,28.9,23.1,78.7,2.5,100,29.17,rain,0,0,29.9,36,124.2,1012,61.5,15.8,234.8,20.4,9,10,2022-11-09T05:13:34,2022-11-09T16:52:00,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,10-11-2022,30.1,26.4,28.3,36.6,26.4,30,23.2,76.7,0.4,100,8.33,rain,0,0,24.8,25.2,101.8,1012,49.8,16.9,257.5,22.2,9,30,2022-11-10T05:13:54,2022-11-10T16:51:51,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VTVS,43333099999,remote"
Andaman and Nicobar Islands,11-11-2022,31.4,26,28.3,33.7,26,29.1,22.3,74.2,0,0,0,,0,0,18.4,18,65.6,1012.3,44.2,16.9,249.7,21.6,9,10,2022-11-11T05:14:16,2022-11-11T16:51:42,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTVS,43333099999"
Andaman and Nicobar Islands,12-11-2022,30.2,25.5,28.2,36.9,25.5,29.4,22.9,76.8,0.1,100,4.17,rain,0,0,21.2,21.6,55.8,1011.6,81.3,16.8,237.8,20.5,9,30,2022-11-12T05:14:37,2022-11-12T16:51:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,13-11-2022,30.7,25.5,28.1,35.5,25.5,29.2,22.8,76.1,0,0,0,,0,0,22.3,21.6,36.8,1011.1,70.3,16.8,249.8,21.3,9,10,2022-11-13T05:15:00,2022-11-13T16:51:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTVS,43333099999"
Andaman and Nicobar Islands,14-11-2022,30.5,24.7,27.6,34.1,24.7,28.3,22.8,79.8,0.3,100,4.17,rain,0,0,22.7,28.8,29.5,1011.2,97,16.2,139.7,11.9,5,10,2022-11-14T05:15:23,2022-11-14T16:51:23,0.66,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,15-11-2022,29.1,24.4,26.1,34.4,24.4,26.4,23.3,84.3,11.4,100,16.67,rain,0,0,20.5,14.4,349.5,1010.5,97.6,13.3,112,9.8,7,30,2022-11-15T05:15:46,2022-11-15T16:51:19,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,16-11-2022,29.4,24.3,26.7,32.8,24.3,27.1,23,85.1,26,100,8.33,rain,0,0,18.7,32.4,92.1,1009.2,96.3,16,111.3,9.5,5,10,2022-11-16T05:16:11,2022-11-16T16:51:16,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,17-11-2022,27.3,24,26,30.8,24,26.2,23.3,86.5,15,100,8.33,rain,0,0,11.5,43.2,114.1,1008.2,84.6,13.5,203.3,17.5,8,10,2022-11-17T05:16:35,2022-11-17T16:51:14,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VTVS,43333099999,remote"
Andaman and Nicobar Islands,18-11-2022,30.7,24.7,27,32.6,24.7,27.6,23.2,81.6,0.8,100,4.17,rain,0,0,18.7,25.2,188.5,1009.1,92.4,15.8,228.7,19.9,8,10,2022-11-18T05:17:01,2022-11-18T16:51:13,0.85,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"VTVS,43333099999,remote"
Andaman and Nicobar Islands,19-11-2022,29.1,26.5,27.9,34.2,26.5,29,23.3,78.9,0.2,100,8.33,rain,0,0,23.8,36,134.9,1009.8,62,17,240.1,20.9,9,30,2022-11-19T05:17:27,2022-11-19T16:51:14,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VTVS,43333099999"
Andaman and Nicobar Islands,20-11-2022,30.8,25.9,28.1,36.2,25.9,29.1,23,77.7,0.3,100,12.5,rain,0,0,21.6,21.6,121.5,1009.5,61.6,17,238.7,20.8,8,10,2022-11-20T05:17:53,2022-11-20T16:51:15,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VTVS,43333099999,remote"
Andaman and Nicobar Islands,21-11-2022,30.3,25.2,27.4,34.9,25.2,28.2,22.4,75.1,1,100,4.17,rain,0,0,9.4,10.8,38.3,1009.9,53.4,16.4,249.3,21.6,9,10,2022-11-21T05:18:20,2022-11-21T16:51:18,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VTVS,43333099999,remote"
Andaman and Nicobar Islands,22-11-2022,31,24.4,26.9,35.3,24.4,27.4,23,79.8,2.1,100,33.33,rain,0,0,14.8,21.6,326.3,1010.3,72.7,15.9,153,13.3,7,10,2022-11-22T05:18:48,2022-11-22T16:51:21,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VTVS,43333099999,remote"
Andaman and Nicobar Islands,23-11-2022,29.1,25.7,26.9,35,25.7,27.3,23.4,83.4,3,100,4.17,rain,0,0,21.2,14.4,307.3,1010.4,91.6,14.3,165.1,14.2,8,30,2022-11-23T05:19:16,2022-11-23T16:51:26,1,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"VTVS,43333099999"
