name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Andhra Pradesh,03-11-2022,30,23.4,26.8,36.2,23.4,29.1,23.7,84,0.671,100,8.33,rain,0,0,14.8,11.2,66.7,1011,78.2,8.3,208.5,18,9,30,2022-11-03T06:05:35,2022-11-03T17:36:12,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,04-11-2022,32,22.5,27.4,37.9,22.5,29.8,23.8,81.7,0.3,100,4.17,rain,0,0,16.6,14.8,63.9,1012.2,46.7,7.1,247,21.4,9,30,2022-11-04T06:05:59,2022-11-04T17:35:49,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,05-11-2022,31,22.3,26.7,36.5,22.3,28.7,23.5,83.6,0.553,100,8.33,rain,0,0,15.8,11.2,77.9,1013.8,56.3,7.6,237.3,20.4,9,30,2022-11-05T06:06:23,2022-11-05T17:35:27,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,06-11-2022,30.9,21.2,26.1,34.1,21.2,27.2,21.8,79,0,0,0,,0,0,14.8,13,83.1,1014.1,16.5,7.7,254.2,21.9,9,10,2022-11-06T06:06:48,2022-11-06T17:35:06,0.48,Clear,Clear conditions throughout the day.,clear-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,07-11-2022,31,20.5,26,35.5,20.5,27.3,21.4,77,0,0,0,,0,0,13.3,11.2,81,1013.4,23.5,6.6,253.5,21.8,9,10,2022-11-07T06:07:14,2022-11-07T17:34:47,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,08-11-2022,31.1,20.2,26,34.1,20.2,27.2,21.2,76.4,0,0,0,,0,0,15.1,9.4,70.1,1013.1,22.3,7.2,253.2,21.8,9,10,2022-11-08T06:07:40,2022-11-08T17:34:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,09-11-2022,31,20.9,26.5,33.7,20.9,27.6,21.2,74.4,0,0,0,,0,0,21.6,13,69.8,1012.8,34.1,7.3,245.2,21.2,9,10,2022-11-09T06:08:06,2022-11-09T17:34:11,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,10-11-2022,31,21.5,26.6,33.7,21.5,27.7,20.7,71.2,0,0,0,,0,0,34.2,16.6,57.1,1012.4,30.4,7.5,215.2,18.7,8,10,2022-11-10T06:08:34,2022-11-10T17:33:55,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,11-11-2022,31,22,26.7,32.4,22,27.6,20,68.1,0,0,0,,0,0,36.4,18.4,56.3,1012.3,56,6.9,212.5,18.3,8,10,2022-11-11T06:09:01,2022-11-11T17:33:40,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,12-11-2022,31.1,22.7,27,34.6,22.7,28.9,21.3,71.5,0.849,100,8.33,rain,0,0,39.6,18.4,61.8,1012.4,63.2,7.9,171.4,14.7,7,10,2022-11-12T06:09:30,2022-11-12T17:33:26,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,13-11-2022,31,22.1,26.7,33.7,22.1,27.8,21.3,73.4,0,0,0,rain,0,0,27.7,18.4,62.4,1012.6,57.6,7.6,229,19.8,8,10,2022-11-13T06:09:59,2022-11-13T17:33:13,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,14-11-2022,31,21.8,26.2,33.7,21.8,27.2,21.1,74.8,0,0,0,rain,0,0,20.2,14.8,83.6,1013.1,29.5,7.7,197.1,17.1,8,10,2022-11-14T06:10:28,2022-11-14T17:33:01,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,15-11-2022,31.1,20.7,25.9,33.3,20.7,26.8,20.6,74.2,0,0,0,,0,0,16.6,11.2,23.3,1013.1,29.7,6.9,243.2,21,9,10,2022-11-15T06:10:58,2022-11-15T17:32:51,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,16-11-2022,31,19.7,24.9,31.4,19.7,25.2,17.8,67.5,0,0,0,,0,0,15.8,9.4,338.2,1011.8,17,7.7,246.4,21.3,9,10,2022-11-16T06:11:28,2022-11-16T17:32:42,0.75,Clear,Clear conditions throughout the day.,clear-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,17-11-2022,31,18.1,24.4,30.6,18.1,24.5,16.4,63.5,0,0,0,,0,0,19.1,14.8,29.6,1011.3,22.1,7.8,239,20.6,9,10,2022-11-17T06:11:59,2022-11-17T17:32:34,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,18-11-2022,30.1,19.1,24.2,30.4,19.1,24.3,17.3,67.5,0,0,0,,0,0,19.4,13,30.1,1011.7,35.5,8,231.8,20.2,9,10,2022-11-18T06:12:31,2022-11-18T17:32:28,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,19-11-2022,31,19.4,24.4,30.6,19.4,24.4,16.2,62.5,0,0,0,,0,0,21.6,14.8,21.1,1011.6,35.7,8.3,240.5,20.7,9,10,2022-11-19T06:13:02,2022-11-19T17:32:22,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,20-11-2022,28,18.9,23.6,28.3,18.9,23.7,15.3,61,0.354,100,4.17,rain,0,0,23.8,13,4.8,1010.4,73,8.1,156.8,13.3,8,10,2022-11-20T06:13:34,2022-11-20T17:32:18,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
