name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arunachal Pradesh,03-11-2022,23.7,11.7,16.6,23.7,11.7,16.6,4.2,45,0,0,0,,0,0,11.5,8.3,75.5,1014.3,93.5,24.1,190.6,16.4,7,10,2022-11-03T05:16:03,2022-11-03T16:19:33,0.37,Overcast,Cloudy skies throughout the day.,cloudy,remote
Arunachal Pradesh,04-11-2022,24.3,12.1,17.1,24.3,12.1,17.1,4.9,46.4,0,0,0,,0,0,10.8,7.9,69.6,1015.9,12.2,24.1,219.3,18.8,8,10,2022-11-04T05:16:45,2022-11-04T16:18:52,0.42,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,05-11-2022,24.4,13,17.3,24.4,13,17.3,7.8,55.2,0,0,0,,0,0,10.8,8.3,69,1017.6,0.3,24.1,214.9,18.6,8,10,2022-11-05T05:17:27,2022-11-05T16:18:12,0.45,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,06-11-2022,24,12.1,16.6,24,12.1,16.6,5.5,50,0,0,0,,0,0,10.1,7.9,68.6,1017.9,0,24.1,217.1,18.7,8,10,2022-11-06T05:18:10,2022-11-06T16:17:34,0.48,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,07-11-2022,23.2,11.8,16.1,23.2,11.8,16.1,6.1,53.5,0,0,0,,0,0,10.8,8.6,65.1,1017.3,0.1,24.1,212.5,18.4,8,10,2022-11-07T05:18:53,2022-11-07T16:16:56,0.49,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,08-11-2022,22.9,11.8,16,22.9,11.8,16,7.6,59,0,0,0,,0,0,9.4,8.6,62.7,1017.4,0.4,24.1,209.7,17.9,8,10,2022-11-08T05:19:37,2022-11-08T16:16:20,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,09-11-2022,23.3,11.7,16.2,23.3,11.7,16.2,6.9,55.6,0,0,0,,0,0,7.6,7.9,67.8,1017.3,58.5,24.1,198,17,7,10,2022-11-09T05:20:21,2022-11-09T16:15:46,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Arunachal Pradesh,10-11-2022,23.7,11.9,16.4,23.7,11.9,16.4,7.3,56.4,0,0,0,,0,0,9,9,68.6,1017.1,0,24.1,210.5,18.3,8,10,2022-11-10T05:21:05,2022-11-10T16:15:13,0.53,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,11-11-2022,23.4,11.8,16.3,23.4,11.8,16.3,6.9,55.2,0,0,0,,0,0,9,9.4,65.2,1016.5,0,24.1,207.8,17.9,8,10,2022-11-11T05:21:50,2022-11-11T16:14:41,0.54,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,12-11-2022,22.5,11.7,15.8,22.5,11.7,15.8,7.7,60,0.1,100,4.17,rain,0,0,8.6,10.1,56.7,1015.9,11.5,23.7,205,17.7,7,10,2022-11-12T05:22:35,2022-11-12T16:14:10,0.58,Rain,Clear conditions throughout the day with late afternoon rain.,rain,remote
Arunachal Pradesh,13-11-2022,21.6,10.4,14.9,21.6,10.4,14.9,8.4,67.1,0.4,100,12.5,rain,0,0,9,10.1,59.3,1016.6,6.7,24.1,201.5,17.5,7,10,2022-11-13T05:23:20,2022-11-13T16:13:42,0.62,Rain,Clear conditions throughout the day with early morning rain.,rain,remote
Arunachal Pradesh,14-11-2022,23.2,10.5,15.4,23.2,10.5,15.4,1.8,41.3,0,0,0,,0,0,11.5,8.3,74.2,1016.5,0,24.1,207.7,17.9,8,10,2022-11-14T05:24:05,2022-11-14T16:13:14,0.66,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,15-11-2022,23,11.3,15.6,23,11.3,15.6,4.2,48.2,0,0,0,,0,0,11.2,8.6,71.3,1015.3,0,24.1,202.8,17.5,7,10,2022-11-15T05:24:51,2022-11-15T16:12:48,0.7,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,16-11-2022,22.7,11.1,15.4,22.7,11.1,15.4,5.8,54.1,0,0,0,,0,0,8.3,8.3,69,1014.2,0,24.1,200.9,17.5,7,10,2022-11-16T05:25:37,2022-11-16T16:12:24,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,17-11-2022,21.9,10.4,14.6,21.9,10.4,14.6,3.1,47.2,0,0,0,,0,0,8.6,9,68.9,1014.6,0,24.1,201.2,17.5,7,10,2022-11-17T05:26:23,2022-11-17T16:12:01,0.8,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,18-11-2022,22.6,10.1,14.8,22.6,10.1,14.8,1.7,42.4,0,0,0,,0,0,11.5,8.3,73.4,1016.6,0,24.1,203.4,17.5,7,10,2022-11-18T05:27:09,2022-11-18T16:11:39,0.85,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,19-11-2022,23.8,10.7,15.6,23.8,10.7,15.6,1.5,40.3,0,0,0,,0,0,11.5,8.6,75.6,1016.5,13.5,24.1,201.5,17.5,7,10,2022-11-19T05:27:56,2022-11-19T16:11:19,0.89,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,20-11-2022,23.6,11.1,15.5,23.6,11.1,15.5,1.1,39.5,0,0,0,,0,0,13,9.7,71.9,1015,35.8,24.1,203.5,17.6,8,10,2022-11-20T05:28:42,2022-11-20T16:11:01,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Arunachal Pradesh,21-11-2022,23.2,11.7,15.7,23.2,11.7,15.7,1.6,39.9,0,0,0,,0,0,12.6,9,64.7,1013.7,5.6,24.1,195.5,16.7,7,10,2022-11-21T05:29:29,2022-11-21T16:10:44,0.97,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,22-11-2022,22.9,11.6,15.6,22.9,11.6,15.6,3,44.2,0,0,0,,0,0,11.5,8.6,64.1,1014,4.5,24.1,193.5,16.6,7,10,2022-11-22T05:30:15,2022-11-22T16:10:29,0.99,Clear,Clear conditions throughout the day.,clear-day,remote
Arunachal Pradesh,23-11-2022,22.9,10.8,15.3,22.9,10.8,15.3,2.3,43.2,0,0,0,,0,0,8.6,8.3,72.9,1014.3,1.4,24.1,195.5,16.8,7,10,2022-11-23T05:31:02,2022-11-23T16:10:15,1,Clear,Clear conditions throughout the day.,clear-day,remote
