name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Assam,03-11-2022,29.1,21.6,25.1,32,21.6,25.9,22.3,85.7,0,0,0,,0,0,15.5,6.2,24.3,1011,78.8,3.1,196.5,17,7,30,2022-11-03T05:32:38,2022-11-03T16:39:43,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42512099999"
Assam,04-11-2022,29,21,24.6,32.7,21,25.3,22.2,87.5,0.075,100,4.17,rain,0,0,11.5,5.4,34.4,1013.1,43.1,3.2,207.3,18.1,8,30,2022-11-04T05:33:18,2022-11-04T16:39:04,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42410099999,VEGT,42414099999,42516099999,42512099999"
Assam,05-11-2022,29.8,19.8,24.5,33.5,19.8,25.3,21.9,86.7,0,0,0,,0,0,14.4,7.7,32.5,1015,41.9,4.8,206.4,17.9,7,30,2022-11-05T05:33:58,2022-11-05T16:38:26,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42512099999"
Assam,06-11-2022,30,19.3,24.3,32.6,19.3,25.1,21.4,85.2,0,0,0,,0,0,10.4,7.9,38.6,1014.9,30.9,5.1,204.6,17.6,7,30,2022-11-06T05:34:38,2022-11-06T16:37:50,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42512099999"
Assam,07-11-2022,30,20,24.1,32,20,24.7,21.1,85.3,0,0,0,,0,0,10.8,7.6,8.1,1014.3,33.7,3,203.5,17.6,7,10,2022-11-07T05:35:19,2022-11-07T16:37:15,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42512099999"
Assam,08-11-2022,28.6,19.3,23.8,31.6,19.3,24.4,20.8,84.7,0,0,0,,0,0,10.8,6.2,35.3,1014.5,36.1,5.6,201.8,17.5,7,10,2022-11-08T05:36:00,2022-11-08T16:36:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42512099999"
Assam,09-11-2022,28.7,19.7,23.7,31.3,19.7,24.2,20.5,83.9,0,0,0,,0,0,13,9,38.3,1014.4,31.9,5.6,199.8,17.3,7,10,2022-11-09T05:36:42,2022-11-09T16:36:09,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
Assam,10-11-2022,29,19,23.6,32,19,24.1,20.7,85.3,0,0,0,,0,0,13.3,7.6,16.9,1014.5,52.3,3,200.3,17.4,7,10,2022-11-10T05:37:24,2022-11-10T16:35:38,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42409099999,42512099999"
Assam,11-11-2022,29,18.6,23.3,29.8,18.6,23.7,20,83.7,0,0,0,,0,0,11.5,7.6,46.9,1013.8,43.9,3.8,199,17.2,7,10,2022-11-11T05:38:06,2022-11-11T16:35:09,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
Assam,12-11-2022,28.7,18.7,23,29.2,18.7,23.2,19.5,82.6,0,0,0,,0,0,10.1,5.9,12,1013.6,44.1,5.1,196.5,17.1,7,10,2022-11-12T05:38:49,2022-11-12T16:34:41,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
Assam,13-11-2022,28,17.6,22.3,29.2,17.6,22.5,19,83.1,0.1,100,4.17,rain,0,0,11.9,5.4,41.1,1013.6,28.2,4,198.9,17.2,7,10,2022-11-13T05:39:32,2022-11-13T16:34:14,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
