name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chandigarh,03-11-2022,29.6,16,22.4,28.3,16,22.2,10.4,49.1,0,0,0,,0,0,24.8,18,344,1011.7,27.1,17.2,168.5,14.5,6,10,2022-11-03T06:38:57,2022-11-03T17:33:28,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,04-11-2022,28.6,15.2,21.8,28.7,15.2,21.7,11.6,54.1,0,0,0,,0,0,9.4,9.7,112.9,1013.7,37.5,17.2,162.3,14.1,6,10,2022-11-04T06:39:45,2022-11-04T17:32:41,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,05-11-2022,28.7,17.9,22.1,29.1,17.9,22.1,13.5,59.6,0,0,0,,0,0,19.8,16.9,123.5,1015.5,21.1,16.6,171.8,14.8,7,30,2022-11-05T06:40:33,2022-11-05T17:31:55,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42705299999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,06-11-2022,29.7,18.1,22.7,29.5,18.1,22.7,12.4,53.7,0,0,0,,0,0,14,10.4,111.6,1016,53.7,17.3,156.4,13.4,6,10,2022-11-06T06:41:22,2022-11-06T17:31:10,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42101099999,remote,42103099999,42105099999"
Chandigarh,07-11-2022,29.6,18.4,23.1,30.5,18.4,23.1,12.1,51.9,0,0,0,,0,0,10.4,10.8,92,1014.9,44.3,17.1,162,14,6,10,2022-11-07T06:42:11,2022-11-07T17:30:27,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,08-11-2022,27.7,16.3,21.8,27,16.3,21.7,11.5,54.2,0,0,0,,0,0,10.1,10.4,108.6,1015.5,22.9,16.9,161.6,13.9,6,10,2022-11-08T06:43:01,2022-11-08T17:29:46,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,09-11-2022,27.1,17.5,21.6,27.5,17.5,21.6,12.3,57.2,0,0,0,,0,0,9,9.4,42.6,1015.8,47.2,16.7,157.3,13.5,6,10,2022-11-09T06:43:50,2022-11-09T17:29:05,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,10-11-2022,26.5,16.7,20.7,26.5,16.7,20.7,11.5,57.7,0.8,100,8.33,rain,0,0,13.7,10.4,1.9,1017,42.3,15.1,158.9,13.7,6,10,2022-11-10T06:44:40,2022-11-10T17:28:27,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42083099999,42705299999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,11-11-2022,27.3,13.3,19.5,26.6,13.3,19.5,8.2,50.2,0,0,0,,0,0,19.8,15.5,334.4,1016.9,1.3,17.2,166.9,14.5,6,10,2022-11-11T06:45:31,2022-11-11T17:27:49,0.54,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
Chandigarh,12-11-2022,26.8,14.1,18.8,26.2,14.1,18.8,5.4,43.6,0,0,0,,0,0,29.9,22,333.9,1016.2,0.4,17.4,168.1,14.5,6,10,2022-11-12T06:46:21,2022-11-12T17:27:14,0.58,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
