name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chhattisgarh,03-11-2022,31.1,18.1,24,31.1,18.1,24,16.1,64.5,0,0,0,,0,0,10.1,9.4,60.1,1013,0,8,242.5,21,9,10,2022-11-03T06:07:11,2022-11-03T17:26:35,0.37,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,04-11-2022,31.6,17.5,23.9,30.7,17.5,23.9,15.6,62.4,0,0,0,,0,0,7.2,7.6,191.4,1014.3,0,7.1,239.5,20.6,8,10,2022-11-04T06:07:43,2022-11-04T17:26:04,0.42,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,05-11-2022,32.1,18.8,24.9,32.6,18.8,24.8,16,60.4,0,0,0,,0,0,7.6,9.4,197.3,1015.1,5.7,8.1,236.2,20.3,8,10,2022-11-05T06:08:15,2022-11-05T17:25:35,0.45,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,06-11-2022,32.3,19.5,25.1,32.8,19.5,25.1,17,63.2,0,0,0,,0,0,9.4,9.4,234,1015,1.3,7.3,233.3,20.2,8,10,2022-11-06T06:08:47,2022-11-06T17:25:07,0.48,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,07-11-2022,30.3,19.1,24.3,29.8,19.1,24.2,16.4,63.6,0,0,0,,0,0,11.9,11.2,358.6,1014.5,2.6,6.7,230,20,8,10,2022-11-07T06:09:20,2022-11-07T17:24:40,0.49,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,08-11-2022,30.1,17.6,23.7,29.8,17.6,23.7,15.4,61.7,0,0,0,,0,0,9.4,11.2,45.9,1014.8,18.1,7.9,232.3,20.2,8,10,2022-11-08T06:09:53,2022-11-08T17:24:14,0.5,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,09-11-2022,30.1,18.2,23.7,30.1,18.2,23.9,16.3,64.9,0,0,0,,0,0,10.4,9.4,73.3,1015,14.2,8.5,229.8,19.9,8,10,2022-11-09T06:10:27,2022-11-09T17:23:50,0.51,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,10-11-2022,30.3,18.3,23.9,30.3,18.3,23.8,15.6,62.2,0,0,0,,0,0,15.8,18.4,44,1015.4,0.5,6.7,230.3,20.1,8,10,2022-11-10T06:11:01,2022-11-10T17:23:27,0.53,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,11-11-2022,31.1,18.5,24.1,29.9,18.5,23.9,14.4,57.3,0,0,0,,0,0,20.2,22.3,50.3,1015.3,2.4,8,228,19.6,8,10,2022-11-11T06:11:36,2022-11-11T17:23:05,0.54,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,12-11-2022,29.3,18.6,23.5,29.1,18.6,23.4,14.6,59.6,0,0,0,,0,0,15.1,11.2,32.8,1015.4,19.4,6.9,217.6,18.7,8,10,2022-11-12T06:12:11,2022-11-12T17:22:44,0.58,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
