name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dadra and Naga Haveli,03-11-2022,33.9,20.3,25.9,34.5,20.3,25.8,13.7,49.4,0,0,0,,0,0,18.7,11.9,74.1,1011.8,5,20.1,239,20.4,8,10,2022-11-03T06:40:23,2022-11-03T18:02:05,0.37,Clear,Clear conditions throughout the day.,clear-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,04-11-2022,34,20.4,26.3,33.4,20.4,26.2,13.2,46.1,0,0,0,,0,0,21.2,14.8,80.8,1012.4,4.2,20.2,236.5,20.4,8,10,2022-11-04T06:40:53,2022-11-04T18:01:36,0.42,Clear,Clear conditions throughout the day.,clear-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,05-11-2022,33.5,20.7,26.5,37.4,20.7,26.4,13.1,45.4,0,0,0,,0,0,24.1,17.6,98.4,1013.4,4.4,20.1,236.8,20.4,8,10,2022-11-05T06:41:23,2022-11-05T18:01:08,0.45,Clear,Clear conditions throughout the day.,clear-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,06-11-2022,34.2,21.1,26.5,36.1,21.1,26.5,13.3,46.6,0,0,0,,0,0,18,14,106,1013.7,13,20.1,234.6,20.4,8,10,2022-11-06T06:41:54,2022-11-06T18:00:42,0.48,Clear,Clear conditions throughout the day.,clear-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,07-11-2022,33.3,20.7,25.7,34,20.7,25.5,13,47.8,0,0,0,,0,0,19.4,10.1,122.6,1013.4,57,20.6,219.2,19.1,8,10,2022-11-07T06:42:25,2022-11-07T18:00:16,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,08-11-2022,33.2,20.4,25.6,34.3,20.4,25.6,14.4,52.5,0,0,0,,0,0,20.2,15.1,39.2,1013.2,21.4,19.8,229.1,19.7,8,10,2022-11-08T06:42:57,2022-11-08T17:59:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,09-11-2022,33.2,20.7,25.9,32.5,20.7,25.9,14.3,51.3,0,0,0,,0,0,15.8,10.4,37.8,1012.9,17.5,19.8,226.8,19.5,8,10,2022-11-09T06:43:29,2022-11-09T17:59:29,0.51,Clear,Clear conditions throughout the day.,clear-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,10-11-2022,32.8,21.3,26.2,32.4,21.3,26.1,14.4,49.8,0,0,0,,0,0,16.9,12.2,52,1013.6,11.3,19.8,225,19.4,8,10,2022-11-10T06:44:02,2022-11-10T17:59:07,0.53,Clear,Clear conditions throughout the day.,clear-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,11-11-2022,33,21.3,26,36.1,21.3,26.1,14.4,50.8,0,0,0,,0,0,17.3,10.8,60.1,1013.9,40.4,19.8,224.5,19.4,8,10,2022-11-11T06:44:35,2022-11-11T17:58:47,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43001099999,42916099999,42915099999,remote"
Dadra and Naga Haveli,12-11-2022,32.5,21.2,26,34.5,21.2,25.9,13.6,47.7,0,0,0,,0,0,20.9,15.8,64.6,1013.7,52.6,19.8,208.5,18,8,10,2022-11-12T06:45:09,2022-11-12T17:58:28,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43001099999,42916099999,42915099999,remote"
