name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Daman and Diu,03-11-2022,35.9,25,30.4,34.4,25,29.7,12.8,36.8,0,0,0,,0,0,41,29.2,184.2,1008.8,2.6,8.5,197.2,17,7,60,2022-11-03T05:49:58,2022-11-03T16:56:05,0.37,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,04-11-2022,30.6,24.6,27.3,30.6,24.6,27.6,16.9,54,0,0,0,,0,0,43.2,28.4,339.6,1012.7,45.6,9.9,168.9,14.6,7,60,2022-11-04T05:50:38,2022-11-04T16:55:26,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,05-11-2022,30.9,21.8,26,29.6,21.8,25.7,12.1,42.9,0,0,0,,0,0,25.2,18.4,335.8,1015.1,72.3,10,137.6,11.7,6,10,2022-11-05T05:51:19,2022-11-05T16:54:48,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,06-11-2022,29.9,22.7,26.2,30.3,22.7,26.4,15.2,51.2,1.6,100,25,rain,0,0,22,18.6,41.4,1014.4,46.5,10.1,171.5,15,7,10,2022-11-06T05:52:00,2022-11-06T16:54:12,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,07-11-2022,30.9,23.6,27.3,33.1,23.6,28.5,20,64.8,0.2,100,8.33,rain,0,0,27,22.6,70,1012.5,20,10.1,182.5,15.7,7,10,2022-11-07T05:52:41,2022-11-07T16:53:36,0.49,Rain,Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,08-11-2022,33.3,25.2,28.9,35.3,25.2,30,19.7,59.7,0,0,0,rain,0,0,24.5,21.9,95.7,1009.7,19.3,10.1,184.3,15.9,7,60,2022-11-08T05:53:23,2022-11-08T16:53:02,0.5,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,09-11-2022,35.6,23.8,28.7,33.4,23.8,28.2,11.9,38.1,0,0,0,,0,0,42.1,20.4,214.9,1010.3,11.2,9.8,189.4,16.4,7,10,2022-11-09T05:54:05,2022-11-09T16:52:30,0.51,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,10-11-2022,33.3,21.8,28.1,31.8,21.8,27.8,14.2,48,0,0,0,,0,0,31,25.3,124.5,1013.8,24.5,9.8,185.9,16,7,60,2022-11-10T05:54:48,2022-11-10T16:51:59,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,11-11-2022,33.6,24.3,28.2,32.7,24.3,29,20.1,65.9,0,0,0,,0,0,31.3,18.5,125.8,1016,62.4,9.7,147.7,12.9,5,60,2022-11-11T05:55:31,2022-11-11T16:51:29,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,12-11-2022,34.4,22.7,28,33.4,22.7,28.1,18.1,59.4,0,0,0,,0,0,24.5,21.9,90.6,1016.2,60.5,9.9,163.4,14.2,6,30,2022-11-12T05:56:14,2022-11-12T16:51:00,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,13-11-2022,32.9,22.9,27.3,33,22.9,27.8,19.7,65.8,0,0,0,,0,0,27,26.2,12.8,1015.7,10,9.4,179.6,15.5,7,10,2022-11-13T05:56:57,2022-11-13T16:50:33,0.62,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,14-11-2022,30.6,21.1,25.9,31.8,21.1,26.3,18.7,66.2,0,0,0,,0,0,26.6,25.4,332.5,1015.6,8.6,9.8,177.9,15.5,7,10,2022-11-14T05:57:41,2022-11-14T16:50:08,0.66,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,15-11-2022,31.2,20.3,25.8,31.9,20.3,26.1,18.2,64.9,0,0,0,,0,0,15.8,15.3,23.3,1015.4,5.3,10.1,177.6,15.4,7,10,2022-11-15T05:58:25,2022-11-15T16:49:43,0.7,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,16-11-2022,31.5,20.9,26.3,32.1,20.9,26.7,18.6,64.8,0,0,0,,0,0,27.4,14.3,126.9,1013.6,12.9,9.6,179.6,15.5,7,30,2022-11-16T05:59:09,2022-11-16T16:49:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,17-11-2022,32.7,23,28,31.7,23,27.9,17.2,55.8,0,0,0,,0,0,34.9,22.6,150.3,1013.3,50.1,9.9,165.5,14.4,7,10,2022-11-17T05:59:54,2022-11-17T16:48:59,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,18-11-2022,32.6,22.4,27.4,32.5,22.4,27.5,16.7,55.5,0,0,0,,0,0,35.6,19.9,309.1,1013.7,69,10,146.3,12.8,6,10,2022-11-18T06:00:39,2022-11-18T16:48:40,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,19-11-2022,28.6,21.9,25.1,29.8,21.9,25.4,18.3,66.6,0,0,0,,0,0,38.2,31.5,336.1,1017,34.5,7.7,149.3,12.9,6,10,2022-11-19T06:01:24,2022-11-19T16:48:22,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,20-11-2022,26.9,18.1,22.3,26.6,18.1,22.3,9.9,46.7,0,0,0,,0,0,42.1,34,310.7,1017.4,2,9.3,173.3,14.9,7,10,2022-11-20T06:02:09,2022-11-20T16:48:05,0.93,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,21-11-2022,26.9,16.8,21.2,26.6,16.8,21.2,9.3,48.1,0,0,0,,0,0,42.5,30.5,304.8,1016.8,5.1,9.6,179.2,15.4,7,10,2022-11-21T06:02:54,2022-11-21T16:47:50,0.97,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
Daman and Diu,22-11-2022,28.5,15.2,21.4,28,15.2,21.3,10.3,50.6,0.8,100,20.83,rain,0,0,28.1,19,286.5,1016.6,22.1,10.1,172.7,14.9,7,10,2022-11-22T06:03:39,2022-11-22T16:47:36,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
