name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Delhi,03-11-2022,31,17.8,23.9,30.7,17.8,24,16.3,65.1,0,0,0,,0,0,20.9,9.4,268.2,1012.2,8.6,1.4,168,14.5,6,10,2022-11-03T06:34:21,2022-11-03T17:34:40,0.37,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,04-11-2022,31,19.1,24.4,31.5,19.1,24.6,17.3,66.9,0,0,0,,0,0,18,7.6,93.5,1013.4,0.3,1.2,178.2,15.4,7,10,2022-11-04T06:35:05,2022-11-04T17:33:57,0.42,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,05-11-2022,29.7,19,24,32,19,24.5,19.7,78.3,0,0,0,,0,0,21.2,13,92.4,1015.4,3.9,1.2,175,15.2,7,10,2022-11-05T06:35:50,2022-11-05T17:33:15,0.45,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
Delhi,06-11-2022,30.8,19.8,24.8,32.6,19.8,25.2,19,72.3,0,0,0,,0,0,20.9,13,118.4,1015.7,18.7,1.6,149.6,13.1,6,10,2022-11-06T06:36:35,2022-11-06T17:32:34,0.48,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,07-11-2022,32,19.8,25,31.6,19.8,24.9,16.7,64.1,0,0,0,,0,0,14.4,9.4,66.4,1014.6,17.5,1.8,168.4,14.7,7,10,2022-11-07T06:37:20,2022-11-07T17:31:55,0.49,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,08-11-2022,28,19.5,23.7,28.3,19.5,23.8,17.4,69.5,0,0,0,,0,0,29.5,13,300.2,1015.7,36.9,1.5,163,14.1,6,10,2022-11-08T06:38:06,2022-11-08T17:31:17,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,09-11-2022,29.3,19,23.4,29.2,19,23.3,14.8,60.6,0,0,0,,0,0,12.2,7.6,113.3,1015.8,24.4,2.4,166.5,14.3,6,10,2022-11-09T06:38:52,2022-11-09T17:30:41,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,10-11-2022,28.6,18.8,23.5,29,18.8,23.5,16,64.6,0,0,0,,0,0,17.3,13,291.9,1016.8,28.6,2.1,166.5,14.4,6,10,2022-11-10T06:39:38,2022-11-10T17:30:05,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,11-11-2022,27.7,17,21.8,27.2,17,21.8,13.4,61.9,0,0,0,,0,0,22.3,20.5,274.5,1017.2,0,1.8,171.5,14.8,7,10,2022-11-11T06:40:24,2022-11-11T17:29:32,0.54,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,12-11-2022,27.2,15.7,21,26.8,15.7,20.9,10.3,53.4,0,0,0,,0,0,31.7,16.6,271,1016.6,0.1,2.1,172,14.8,7,10,2022-11-12T06:41:11,2022-11-12T17:29:00,0.58,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Delhi,13-11-2022,27.1,14.7,20.5,26.7,14.7,20.5,10.9,56.7,0,0,0,,0,0,20.9,16.6,274.4,1015.2,9.2,2.2,171.5,14.8,7,10,2022-11-13T06:41:58,2022-11-13T17:28:29,0.62,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,14-11-2022,29.7,15.9,22.6,28.7,15.9,22.4,12.2,55.4,0,0,0,,0,0,38.5,11.2,86.5,1015.8,31.7,2.4,165.1,14.3,6,10,2022-11-14T06:42:46,2022-11-14T17:28:00,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,15-11-2022,28.5,17.9,22,27.9,17.9,22,12.4,56.5,0,0,0,,0,0,34.2,9.4,258.2,1015.6,37.4,2.4,163.7,14.2,6,10,2022-11-15T06:43:33,2022-11-15T17:27:32,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,16-11-2022,26.5,15.7,20.6,26.5,15.7,20.6,9.4,52.9,0,0,0,,0,0,22,16.6,281.2,1014.8,7.4,2.5,165,14.3,6,10,2022-11-16T06:44:21,2022-11-16T17:27:06,0.75,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,17-11-2022,24.8,14,18.7,24.8,14,18.7,9.6,57.4,0,0,0,,0,0,33.5,18.4,268.9,1014.7,1.5,2.4,167.1,14.4,6,10,2022-11-17T06:45:09,2022-11-17T17:26:41,0.8,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,18-11-2022,25.2,12.4,18.6,25.2,12.4,18.6,8.4,54.3,0,0,0,,0,0,16.9,14.8,285.3,1016,7.7,2.4,167.8,14.5,6,10,2022-11-18T06:45:57,2022-11-18T17:26:18,0.85,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,19-11-2022,25.8,12.5,18.7,25.8,12.5,18.7,8.4,54.7,0,0,0,,0,0,10.1,9.4,286,1016.6,24.4,2.7,157.7,13.7,6,10,2022-11-19T06:46:45,2022-11-19T17:25:56,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,20-11-2022,25.8,12.4,18.7,25.8,12.4,18.7,9.1,55.7,0,0,0,,0,0,15.5,11.2,276.1,1015.1,14,2.3,149.3,12.8,6,10,2022-11-20T06:47:33,2022-11-20T17:25:36,0.93,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,21-11-2022,26,12.3,18.6,26,12.3,18.6,9.5,58.5,0,0,0,,0,0,19.4,14.8,266.4,1014.1,3.3,2.7,162.3,14,6,10,2022-11-21T06:48:21,2022-11-21T17:25:18,0.97,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,22-11-2022,25.7,13,18.6,25.7,13,18.6,8.5,54.4,0,0,0,,0,0,19.8,14.8,258,1014.1,1.1,2.5,161.2,14,6,10,2022-11-22T06:49:10,2022-11-22T17:25:01,0.99,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,23-11-2022,26.1,11.7,18.5,26.1,11.7,18.5,6.7,49.6,0,0,0,,0,0,20.5,18.4,264.3,1014.4,0,2.7,163.8,14.2,6,10,2022-11-23T06:49:58,2022-11-23T17:24:46,1,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,24-11-2022,26.3,11,18.3,26.3,11,18.3,7.5,51.3,0,0,0,,0,0,18.4,11.2,274.6,1014.3,4.8,2.6,161.7,14,6,10,2022-11-24T06:50:46,2022-11-24T17:24:33,0,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,25-11-2022,26.5,10.9,18.3,26.5,10.9,18.3,7.7,54.6,0,0,0,,0,0,15.8,11.2,287.7,1016.6,9.1,2.5,161.4,14,6,10,2022-11-25T06:51:34,2022-11-25T17:24:21,0.02,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,26-11-2022,27.5,10.5,18.2,26.2,10.5,18.1,8.3,56.4,0,0,0,,0,0,21.2,13,270.6,1013.6,8.8,3.9,159.5,13.6,6,10,2022-11-26T06:52:22,2022-11-26T17:24:11,0.04,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD,remote"
Delhi,27-11-2022,26.4,11.1,17.6,26.4,11.1,17.6,9.1,61.6,0,0,0,,0,0,10.8,7.6,273.3,1011.7,1.7,1.9,159.5,13.7,6,10,2022-11-27T06:53:10,2022-11-27T17:24:02,0.08,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,28-11-2022,25.5,10.7,17.8,25.5,10.7,17.8,9.3,61.5,0,0,0,,0,0,6.8,6.9,266.1,1013.1,0.1,1.7,158.7,13.6,6,10,2022-11-28T06:53:57,2022-11-28T17:23:55,0.13,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
Delhi,29-11-2022,25,10.2,17.5,25,10.2,17.5,10.1,65.3,0,0,0,,0,0,5.8,5.4,306.6,1015.3,10.8,1.5,151.2,13.1,6,10,2022-11-29T06:54:45,2022-11-29T17:23:50,0.19,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
