name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gujarat,03-11-2022,37,20.5,28.2,37.5,20.5,28.7,17,53.3,0,0,0,,0,0,10.1,7.6,140.2,1012.3,0,4.5,228.5,19.9,8,10,2022-11-03T06:45:39,2022-11-03T18:00:04,0.37,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,04-11-2022,37,20,28.3,38.6,20,29,18.1,57.2,0,0,0,,0,0,10.8,9.4,22.3,1013,0,4.4,226.7,19.6,8,10,2022-11-04T06:46:14,2022-11-04T17:59:31,0.42,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,05-11-2022,38,21,28.6,38.6,21,28.9,17.3,54.8,0,0,0,,0,0,10.4,11.2,267.4,1013.9,2,4.4,225.3,19.4,8,10,2022-11-05T06:46:49,2022-11-05T17:58:58,0.45,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,06-11-2022,37,21.6,28.8,37.5,21.6,29,16.5,50.8,0,0,0,,0,0,16.2,9.4,204.7,1014.1,26.8,4.5,203.8,17.5,8,10,2022-11-06T06:47:24,2022-11-06T17:58:27,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
Gujarat,07-11-2022,35.3,22.9,28.3,35.4,22.9,28.6,17.2,53.7,0,0,0,,0,0,15.5,5.4,38.3,1013.4,25,4.2,210.7,18.3,8,10,2022-11-07T06:48:00,2022-11-07T17:57:57,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
Gujarat,08-11-2022,36,22.4,27.9,36.8,22.4,28.1,17.3,55.2,0,0,0,,0,0,14.4,5.4,317.9,1012.9,37.1,4.2,218.7,18.9,8,10,2022-11-08T06:48:37,2022-11-08T17:57:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH"
Gujarat,09-11-2022,35,21,27.2,34.7,21,27.4,17,56.1,0,0,0,,0,0,15.5,11.2,300.4,1013.5,1.2,4.4,217.2,18.9,8,10,2022-11-09T06:49:14,2022-11-09T17:57:01,0.51,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,10-11-2022,35,21,26.8,35.7,21,27,16.7,56,0,0,0,,0,0,20.2,7.6,341.5,1014.7,0.4,4.5,216.4,18.8,8,10,2022-11-10T06:49:51,2022-11-10T17:56:34,0.53,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,11-11-2022,34,20,26.6,34.1,20,26.8,16.3,55,0,0,0,,0,0,21.6,16.6,73.3,1015.1,13.4,4.3,216.6,18.9,8,10,2022-11-11T06:50:29,2022-11-11T17:56:09,0.54,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,12-11-2022,33,21,26.4,32.3,21,26.3,15.1,51.8,0,0,0,,0,0,22.7,11.2,56.6,1015.4,2.9,4.6,216.2,18.8,8,10,2022-11-12T06:51:07,2022-11-12T17:55:46,0.58,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,13-11-2022,33,19.3,25.4,32.6,19.3,25.2,13.7,51.1,0,0,0,,0,0,20.5,11.2,90.1,1014,1,4.6,216.8,18.8,8,10,2022-11-13T06:51:45,2022-11-13T17:55:24,0.62,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,14-11-2022,34,18.8,25.2,34.6,18.8,25.3,14.9,54.8,0,0,0,,0,0,16.2,9.4,95.9,1013.7,1.5,4.9,213.8,18.6,8,10,2022-11-14T06:52:24,2022-11-14T17:55:03,0.66,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,remote"
Gujarat,15-11-2022,33,18,25.6,34.2,18,25.7,16.5,59.8,0,0,0,,0,0,12.6,9.4,57.1,1014,0,3.8,213.3,18.4,8,10,2022-11-15T06:53:04,2022-11-15T17:54:43,0.7,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,16-11-2022,34,20.4,26.1,34.6,20.4,26.1,15.3,53.9,0,0,0,,0,0,25.6,11.2,36.9,1013.4,0,4.2,211,18.2,8,10,2022-11-16T06:53:43,2022-11-16T17:54:25,0.75,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,17-11-2022,32,19,24.8,31.3,19,24.5,12.5,48,0,0,0,,0,0,27.7,16.6,45.2,1014.1,0,4.4,212.8,18.4,8,10,2022-11-17T06:54:23,2022-11-17T17:54:08,0.8,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,18-11-2022,32,17,24,30.4,17,23.5,10.7,46.3,0,0,0,,0,0,22,22.3,77.5,1014.5,0,4.6,214.5,18.7,8,10,2022-11-18T06:55:03,2022-11-18T17:53:53,0.85,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,19-11-2022,32,16,23.3,30.4,16,22.9,11.3,50,0,0,0,,0,0,20.9,14.8,76.7,1014.5,0,4.6,212,18.3,8,10,2022-11-19T06:55:44,2022-11-19T17:53:39,0.89,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
Gujarat,20-11-2022,32,16,24.1,30.8,16,23.8,12.6,51.4,0,0,0,,0,0,15.5,11.2,56,1013.4,0,4.5,209.3,17.9,8,10,2022-11-20T06:56:24,2022-11-20T17:53:27,0.93,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH"
