name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Haryana,03-11-2022,31,18.3,24.1,30.3,18.3,24,16.1,63.5,0,0,0,,0,0,20.9,9.4,269.6,1012.3,7.5,1.4,169.3,14.7,6,10,2022-11-03T06:33:38,2022-11-03T17:34:37,0.37,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,04-11-2022,31,19.9,24.6,31.1,19.9,24.7,17.2,65.5,0,0,0,,0,0,18.7,7.6,93.9,1013.5,0.2,1.2,180,15.6,7,10,2022-11-04T06:34:22,2022-11-04T17:33:54,0.42,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,05-11-2022,29.4,19.8,24.1,31.4,19.8,24.6,19.6,77.5,0,0,0,,0,0,21.6,13,93.6,1015.5,6.8,1.2,177.2,15.3,7,10,2022-11-05T06:35:06,2022-11-05T17:33:13,0.45,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
Haryana,06-11-2022,30.4,20,24.9,31.7,20,25.2,18.8,71.5,0,0,0,,0,0,20.5,13,117.4,1015.8,22.1,1.7,153.2,13.3,6,10,2022-11-06T06:35:51,2022-11-06T17:32:32,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,07-11-2022,32,20,25.1,31.2,20,24.9,16.5,63.1,0,0,0,,0,0,14.4,9.4,65.8,1014.8,15.3,1.9,173.4,15,7,10,2022-11-07T06:36:36,2022-11-07T17:31:54,0.49,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,08-11-2022,28,20,23.7,28.3,20,23.8,17.3,68.8,0,0,0,,0,0,46.1,13,303.7,1015.8,33.8,1.6,165.5,14.1,6,10,2022-11-08T06:37:21,2022-11-08T17:31:16,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,09-11-2022,29,19,23.5,28.6,19,23.3,14.5,59.1,0,0,0,,0,0,16.2,7.6,116.9,1015.9,22.3,2.5,167.3,14.4,6,10,2022-11-09T06:38:06,2022-11-09T17:30:40,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,10-11-2022,28.3,19.4,23.5,28.6,19.4,23.5,15.8,63.6,0,0,0,rain,0,0,13.7,13,293.3,1017,31.4,2.1,166.7,14.4,6,10,2022-11-10T06:38:52,2022-11-10T17:30:05,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,11-11-2022,27.2,17,21.8,26.8,17,21.8,13.2,61,0,0,0,,0,0,21.6,20.5,275.2,1017.3,0,1.8,173.8,14.9,7,10,2022-11-11T06:39:38,2022-11-11T17:29:32,0.54,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,12-11-2022,27.1,16,21.1,26.6,16,21.1,10,51.8,0,0,0,,0,0,31.7,16.6,270.6,1016.7,0,2.2,174.1,14.9,7,10,2022-11-12T06:40:25,2022-11-12T17:29:00,0.58,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,13-11-2022,27,15.5,20.7,26.7,15.5,20.6,10.6,54.8,0,0,0,,0,0,20.5,16.6,274,1015.3,9.7,2.2,172.9,14.9,7,10,2022-11-13T06:41:11,2022-11-13T17:28:30,0.62,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,14-11-2022,29.1,16.9,22.7,28.1,16.9,22.4,11.8,53.4,0,0,0,,0,0,28.8,11.2,83.4,1015.9,29.6,2.5,166.7,14.4,6,10,2022-11-14T06:41:58,2022-11-14T17:28:01,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,15-11-2022,27.9,18.5,22.1,27.3,18.5,22,12.1,54.6,0,0,0,,0,0,27.7,9.4,260.7,1015.7,37.5,2.5,164.5,14.3,6,10,2022-11-15T06:42:45,2022-11-15T17:27:34,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,16-11-2022,26,16,20.7,26,16,20.7,9.2,51.5,0,0,0,,0,0,20.9,16.6,284.1,1014.9,7.3,2.7,167.2,14.5,6,10,2022-11-16T06:43:33,2022-11-16T17:27:08,0.75,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,17-11-2022,24.3,14,18.8,24.3,14,18.8,9.5,56.3,0,0,0,,0,0,33.5,18.4,270.1,1014.8,1.4,2.5,169.7,14.7,7,10,2022-11-17T06:44:20,2022-11-17T17:26:44,0.8,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,18-11-2022,25,13.3,18.7,25,13.3,18.7,8.1,52.6,0,0,0,,0,0,19.8,14.8,284.5,1016,2.4,2.5,170.4,14.8,7,10,2022-11-18T06:45:08,2022-11-18T17:26:21,0.85,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,19-11-2022,25.5,13.2,18.8,25.5,13.2,18.8,8.1,52.9,0,0,0,,0,0,7.9,9.4,287.7,1016.7,24.4,2.8,162.9,14.1,6,10,2022-11-19T06:45:56,2022-11-19T17:26:00,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,20-11-2022,25.6,13.3,18.9,25.6,13.3,18.9,8.9,54.1,0,0,0,,0,0,14.8,11.2,277.8,1015.2,13.5,2.4,158.1,13.6,6,10,2022-11-20T06:46:43,2022-11-20T17:25:40,0.93,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,21-11-2022,26,13,18.8,26,13,18.8,9.3,57,0,0,0,,0,0,19.4,14.8,266.9,1014.1,2.9,2.8,164.8,14.2,6,10,2022-11-21T06:47:31,2022-11-21T17:25:22,0.97,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,22-11-2022,25.3,13,18.7,25.3,13,18.7,8.3,53.3,0,0,0,,0,0,22,14.8,259.5,1014.1,0.7,2.6,163.5,14.1,6,10,2022-11-22T06:48:19,2022-11-22T17:25:06,0.99,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,23-11-2022,26,12.7,18.7,26,12.7,18.7,6.4,47.7,0,0,0,,0,0,20.9,18.4,266.2,1014.5,0,2.8,166.6,14.4,6,10,2022-11-23T06:49:07,2022-11-23T17:24:51,1,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,24-11-2022,25.9,11.9,18.5,25.9,11.9,18.5,7.3,49.5,0,0,0,,0,0,21.2,11.2,273.6,1014.4,1,2.7,165.7,14.4,6,10,2022-11-24T06:49:55,2022-11-24T17:24:38,0,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,25-11-2022,26,11.8,18.5,26,11.8,18.5,7.5,52.6,0,0,0,,0,0,14.8,11.2,290.3,1016.7,4.2,2.6,164,14.2,6,10,2022-11-25T06:50:43,2022-11-25T17:24:26,0.02,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,26-11-2022,27.4,11.3,18.3,26.2,11.3,18.2,8.1,55,0,0,0,,0,0,21.6,13,272.6,1013.7,4.4,3.9,162.6,14.1,6,10,2022-11-26T06:51:30,2022-11-26T17:24:16,0.04,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD,remote"
Haryana,27-11-2022,25.6,12,17.6,25.6,12,17.6,9,60.2,0,0,0,,0,0,11.5,7.6,274.8,1011.8,0.6,2,161.7,14,6,10,2022-11-27T06:52:18,2022-11-27T17:24:08,0.08,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,28-11-2022,25.1,11.7,17.9,25.1,11.7,17.9,9.2,60.5,0,0,0,,0,0,4.7,6.1,275.3,1013.2,0,1.8,160.6,13.8,6,10,2022-11-28T06:53:05,2022-11-28T17:24:01,0.13,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,29-11-2022,25,11.4,17.8,25,11.4,17.8,10,63.8,0,0,0,,0,0,6.5,5.4,305.1,1015.4,9.8,1.5,153.1,13.1,6,10,2022-11-29T06:53:52,2022-11-29T17:23:56,0.19,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,30-11-2022,25,12.6,17.6,25,12.6,17.6,10.3,64.5,0,0,0,,0,0,9,11.2,266.9,1016.6,6.1,1.7,154.9,13.4,6,10,2022-11-30T06:54:39,2022-11-30T17:23:53,0.24,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
Haryana,01-12-2022,24,13,17.6,24,13,17.6,10.9,66.9,0,0,0,,0,0,12.6,9.4,258.7,1015.5,3.4,1.6,155.8,13.4,6,10,2022-12-01T06:55:25,2022-12-01T17:23:51,0.3,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42181099999"
Haryana,02-12-2022,25,13,18.2,25,13,18.2,9.9,61.5,0,0,0,,0,0,9.4,5.4,237.1,1014.4,38.6,1.8,154.7,13.3,6,10,2022-12-02T06:56:11,2022-12-02T17:23:51,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,VIDP
Haryana,03-12-2022,24,13,18.1,24,13,18.1,11.3,66.4,0,0,0,,0,0,10.8,5.4,350.4,1015.1,17.7,1.8,153.3,13.3,6,10,2022-12-03T06:56:57,2022-12-03T17:23:53,0.4,Clear,Clear conditions throughout the day.,clear-day,VIDP
Haryana,04-12-2022,23,14,18.5,23,14,18.5,10.1,63.1,0,0,0,,0,0,9.4,9.4,275.8,1015.7,0.1,5.3,153.6,13.3,6,10,2022-12-04T06:57:42,2022-12-04T17:23:56,0.44,Clear,Clear conditions throughout the day.,clear-day,VIDP
