name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jammu and Kashmir,03-11-2022,28,16,21.4,28,16,21.4,14.7,67.4,0,0,0,,0,0,9.4,11.2,52.9,1012,32.8,3.7,164.5,14.2,6,10,2022-11-03T06:49:57,2022-11-03T17:38:13,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,04-11-2022,29,16.9,22.3,28.5,16.9,22.3,15.5,67.2,0,0,0,,0,0,7.2,7.6,50.5,1013.6,49.5,4,166.7,14.5,6,10,2022-11-04T06:50:49,2022-11-04T17:37:22,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,05-11-2022,27,17.5,21.9,27.9,17.5,22,17.2,75.4,0,0,0,,0,0,10.1,25.9,48.3,1015.6,50.1,3.2,146.8,12.7,6,10,2022-11-05T06:51:42,2022-11-05T17:36:32,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,06-11-2022,27,17.3,21,26.7,17.3,21,13.7,65.1,16.142,100,4.17,rain,0,0,61.9,46.4,347.9,1016.9,65.4,4.3,125.5,10.7,5,10,2022-11-06T06:52:35,2022-11-06T17:35:43,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OPST,42056099999,41600099999"
Jammu and Kashmir,07-11-2022,26.6,17,20.6,26.6,17,20.6,13.6,65.8,1,100,25,rain,0,0,43.6,18.4,344.5,1016,67.3,3.9,138.6,11.9,6,10,2022-11-07T06:53:28,2022-11-07T17:34:56,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OPST,42056099999,41600099999"
Jammu and Kashmir,08-11-2022,27.4,16,22.5,27.2,16,22.4,15.4,66.7,0,0,0,,0,0,12.2,11.2,327.7,1015.9,51.1,4.6,172.9,14.8,7,10,2022-11-08T06:54:22,2022-11-08T17:34:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,09-11-2022,19.8,15.8,17.6,19.8,15.8,17.6,13.8,78.8,2,100,8.33,rain,0,0,24.5,14.2,34,1016.7,68.1,4.3,135.3,11.7,6,10,2022-11-09T06:55:15,2022-11-09T17:33:26,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"OPST,42056099999,41600099999"
Jammu and Kashmir,10-11-2022,25.9,13.4,18.7,25.9,13.4,18.7,12.5,69,2.575,100,4.17,rain,0,0,13.3,7.6,329.6,1018.5,25.1,6,155.8,13.5,6,10,2022-11-10T06:56:09,2022-11-10T17:32:44,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OPST,42056099999,41600099999"
Jammu and Kashmir,11-11-2022,25.6,12.4,18.2,25.6,12.4,18.2,11.6,68.2,0,0,0,,0,0,13,6.8,327.5,1018,0,4.6,174.8,15,7,10,2022-11-11T06:57:03,2022-11-11T17:32:02,0.54,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,12-11-2022,25.6,11.4,17.8,25.6,11.4,17.8,11.1,67.6,0,0,0,,0,0,9.7,6.2,340.1,1017,3.6,4.6,174.7,15,7,10,2022-11-12T06:57:58,2022-11-12T17:31:23,0.58,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,13-11-2022,24.6,11.4,17.5,24.6,11.4,17.5,11.4,69.7,0,0,0,,0,0,9.7,7.6,339.3,1015.5,45.7,4.4,154.2,13.4,6,10,2022-11-13T06:58:52,2022-11-13T17:30:45,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,14-11-2022,19.4,13.5,16.5,19.4,13.5,16.5,13.2,81,13.858,100,16.67,rain,0,0,43.2,22.3,59.5,1017.5,77.2,4.4,106.7,9.3,6,10,2022-11-14T06:59:47,2022-11-14T17:30:08,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OPST,42056099999,41600099999"
Jammu and Kashmir,15-11-2022,24.7,13,17.6,24.7,13,17.6,11.9,71.2,0,0,0,,0,0,17.3,5.3,11,1017.1,37.7,4.8,165.1,14.3,6,10,2022-11-15T07:00:42,2022-11-15T17:29:33,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJU,OPST,42056099999,41600099999"
Jammu and Kashmir,16-11-2022,22.4,13,17.2,22.4,13,17.2,12.7,75.8,0,0,0,,0,0,9,14.8,282.3,1014.8,41.6,4.3,165.8,14.2,6,10,2022-11-16T07:01:36,2022-11-16T17:29:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJU,OPST,42056099999,41600099999"
Jammu and Kashmir,17-11-2022,23.4,12.4,16.8,23.4,12.4,16.8,11.7,73.8,0,0,0,,0,0,10.4,9.8,319.3,1014.9,3,4.4,167.9,14.5,6,10,2022-11-17T07:02:31,2022-11-17T17:28:29,0.8,Clear,Clear conditions throughout the day.,clear-day,"VIJU,OPST,42056099999,41600099999"
Jammu and Kashmir,18-11-2022,23.4,11,16.3,23.4,11,16.3,11.9,76.7,0,0,0,,0,0,6.8,4,4.3,1016,26.8,4,155,13.4,6,10,2022-11-18T07:03:26,2022-11-18T17:27:59,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJU,OPST,42056099999,41600099999"
Jammu and Kashmir,19-11-2022,23,12,16.6,23,12,16.6,12.6,78.5,0,0,0,,0,0,11.2,4.7,325.6,1017.4,58.5,3.5,116.8,10.2,5,10,2022-11-19T07:04:21,2022-11-19T17:27:31,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,20-11-2022,24.4,11,16.3,24.4,11,16.3,10.9,72.7,0,0,0,,0,0,15.8,11.2,303.7,1016,3.6,4.4,162.9,14.1,6,10,2022-11-20T07:05:16,2022-11-20T17:27:04,0.93,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,21-11-2022,24,10,16.3,24,10,16.3,10.5,71.1,0,0,0,,0,0,8.3,7.6,328.8,1014.6,11.8,4.4,162.2,14.1,6,10,2022-11-21T07:06:10,2022-11-21T17:26:39,0.97,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,22-11-2022,24,10,16.1,24,10,16.1,10.8,73.1,0,0,0,,0,0,15.5,8.3,311.7,1014.1,4.2,4.2,163.1,14.1,6,10,2022-11-22T07:07:05,2022-11-22T17:26:16,0.99,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,23-11-2022,23.8,9.6,15.9,23.8,9.6,15.9,10.7,73.2,0,0,0,,0,0,14.8,6.8,339.2,1014.4,0,3.9,164.2,14.1,6,10,2022-11-23T07:07:59,2022-11-23T17:25:55,1,Clear,Clear conditions throughout the day.,clear-day,"VIJU,OPST,42056099999,41600099999"
Jammu and Kashmir,24-11-2022,23.6,9,15.2,23.6,9,15.2,10.5,75.9,0,0,0,,0,0,7.6,4.7,355.8,1013.8,4.8,3.8,164,14.2,6,10,2022-11-24T07:08:53,2022-11-24T17:25:36,0,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,25-11-2022,24,8.6,15.7,24,8.6,15.7,11.1,76.1,0,0,0,,0,0,7.2,3.2,43.5,1017.1,4.8,3.3,160.9,14,6,10,2022-11-25T07:09:47,2022-11-25T17:25:18,0.02,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,26-11-2022,23.6,9,15.6,23.6,9,15.6,11,76.6,0,0,0,,0,0,9,5.3,326.6,1014.4,1.3,3.3,159,13.7,6,10,2022-11-26T07:10:41,2022-11-26T17:25:03,0.04,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,27-11-2022,23.6,9.7,15.7,23.6,9.7,15.7,11.2,76.5,0,0,0,,0,0,6.1,2.8,25.4,1012.1,0.8,3.5,157.1,13.7,6,10,2022-11-27T07:11:34,2022-11-27T17:24:49,0.08,Clear,Clear conditions throughout the day.,clear-day,"VIJU,OPST,42056099999,41600099999"
Jammu and Kashmir,28-11-2022,23.6,9,15.7,23.6,9,15.7,11.5,77.5,0,0,0,,0,0,6.8,3.2,35.5,1013.6,0.6,3.5,155.6,13.6,6,10,2022-11-28T07:12:27,2022-11-28T17:24:36,0.13,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,29-11-2022,23.4,9.4,15.7,23.4,9.4,15.7,11.4,77.6,0,0,0,,0,0,7.9,3.2,52.1,1015.8,0,3.4,154.1,13.3,6,10,2022-11-29T07:13:19,2022-11-29T17:24:26,0.19,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
Jammu and Kashmir,30-11-2022,23.4,9.4,15.5,23.4,9.4,15.5,11,77,0,0,0,,0,0,7.9,5.3,277.6,1016.8,15.1,3.3,152.8,13.3,6,10,2022-11-30T07:14:11,2022-11-30T17:24:18,0.24,Clear,Clear conditions throughout the day.,clear-day,"OPST,42056099999,41600099999"
