name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Karnataka,03-11-2022,24.9,19,21.5,24.9,19,21.5,19.8,90.3,8.019,100,8.33,rain,0,0,31.7,27.3,59.8,1015.6,79.9,5.4,104.3,8.9,7,10,2022-11-03T06:13:48,2022-11-03T17:52:27,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,04-11-2022,26,19.9,22.2,26,19.9,22.2,20.1,88.7,0.025,100,4.17,rain,0,0,29.5,18.4,81.2,1016.8,66.3,6.4,195.1,16.9,8,10,2022-11-04T06:14:06,2022-11-04T17:52:09,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,05-11-2022,27,19,22.8,28.5,19,23,19.3,82.2,0.1,100,4.17,rain,0,0,29.9,18.2,90.8,1018.3,53.3,5.8,243.5,21,9,10,2022-11-05T06:14:25,2022-11-05T17:51:53,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,06-11-2022,26.6,19,22.3,26.6,19,22.3,19.2,83.6,3.975,100,4.17,rain,0,0,28.1,20.7,74.1,1018.8,66.5,5.3,190.1,16.4,9,10,2022-11-06T06:14:45,2022-11-06T17:51:37,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,07-11-2022,28,18.9,22.7,28.2,18.9,22.8,16.7,71.6,0,0,0,,0,0,19.1,13,63.5,1018.1,38.2,5.5,271.6,23.3,9,10,2022-11-07T06:15:05,2022-11-07T17:51:23,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,08-11-2022,28,17,22.8,28.5,17,22.9,16.8,71.8,0,0,0,,0,0,22,14.6,54,1017.7,38.4,5.4,257.3,22.1,9,10,2022-11-08T06:15:26,2022-11-08T17:51:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,09-11-2022,27.9,17.9,22.5,27.9,17.9,22.5,16,69.7,0,0,0,,0,0,22,14.8,46.8,1017.3,40.1,6.1,260.7,22.4,9,10,2022-11-09T06:15:48,2022-11-09T17:50:57,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,10-11-2022,27.9,17.5,22.2,28.8,17.5,22.3,17.5,76.4,0.2,100,8.33,rain,0,0,34.6,18,52.5,1016.8,44.7,5,232.5,20.1,9,10,2022-11-10T06:16:10,2022-11-10T17:50:45,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,11-11-2022,22,19,20.6,22,19,20.6,18.3,87.1,0.201,100,8.33,rain,0,0,46.8,22.2,40,1016.3,75.1,3.7,45.1,4,2,10,2022-11-11T06:16:33,2022-11-11T17:50:35,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,12-11-2022,21.9,19,20.4,21.9,19,20.4,19.4,94.3,10.931,100,12.5,rain,0,0,49.3,19.4,31.4,1016,93.7,3.7,17.1,1.6,1,10,2022-11-12T06:16:57,2022-11-12T17:50:26,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
