name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kerala,03-11-2022,31,25,27.8,36.8,25,30.8,24.3,81.6,1.461,100,8.33,rain,0,0,8.6,9.4,281.2,1009.3,79.6,4.1,240.5,20.7,9,10,2022-11-03T06:11:26,2022-11-03T17:59:57,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,04-11-2022,31,24.6,27.4,36.5,24.6,29.8,24.1,83.1,15.883,100,12.5,rain,0,0,10.8,14.8,107.4,1010.4,69.1,4,231.7,19.9,8,30,2022-11-04T06:11:38,2022-11-04T17:59:46,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,05-11-2022,29,24.5,26.8,34.2,24.5,28.7,24.1,85.7,5.432,100,12.5,rain,0,0,14.8,9.4,289.2,1012,88,4,180.7,15.5,7,30,2022-11-05T06:11:51,2022-11-05T17:59:36,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,06-11-2022,31,24,27.1,36.5,24,29.2,23.6,81.7,25.717,100,12.5,rain,0,0,10.1,13,268.1,1012.3,60.3,4.4,246.4,21.2,9,10,2022-11-06T06:12:04,2022-11-06T17:59:26,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,07-11-2022,31.2,24,27.4,36.8,24,29.5,23.3,79.5,15.329,100,4.17,rain,0,0,16.2,11.2,290.7,1011.7,52.3,5,248.4,21.5,9,10,2022-11-07T06:12:18,2022-11-07T17:59:18,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOTV,43371099999,43377099999,43354099999,remote,43372099999"
Kerala,08-11-2022,30,24.2,27,35.1,24.2,29.2,24.1,84.3,6.569,100,20.83,rain,0,0,9.4,11.2,332,1010.9,89.9,3.9,204.9,17.8,8,30,2022-11-08T06:12:33,2022-11-08T17:59:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,09-11-2022,31,24.3,27.6,37.7,24.3,30.7,24,81.3,0.013,100,12.5,rain,0,0,11.5,9.4,252.8,1010.3,62.1,4.8,234,20.2,9,30,2022-11-09T06:12:49,2022-11-09T17:59:04,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,10-11-2022,31.2,24.9,28.2,36.5,24.9,31.5,24,78.3,0,0,0,rain,0,0,12.6,11.2,256.6,1010,50,4.7,252.4,21.7,9,10,2022-11-10T06:13:05,2022-11-10T17:58:59,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,11-11-2022,30,25,27.3,35.1,25,30,23.9,82.1,0.227,100,4.17,rain,0,0,14.8,11.2,337.2,1009.7,65.4,4,155.5,13.5,7,10,2022-11-11T06:13:22,2022-11-11T17:58:55,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,12-11-2022,30.7,24.9,27.8,36.1,24.9,30.5,23.9,80.2,0,0,0,rain,0,0,14.4,14.8,300.3,1009.9,76.4,4.4,253.2,21.9,9,10,2022-11-12T06:13:40,2022-11-12T17:58:51,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,13-11-2022,31.5,24.9,28,37.1,24.9,31.3,24.2,80.5,0,0,0,rain,0,0,17.3,14.8,120.7,1009.8,65,4.3,244.8,21.1,9,30,2022-11-13T06:13:58,2022-11-13T17:58:49,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
Kerala,14-11-2022,28,24.3,26.6,31.9,24.3,28.4,24,86.2,31.701,100,16.67,rain,0,0,9.7,11.2,336.5,1011.3,90.7,3.5,132.3,11.3,8,30,2022-11-14T06:14:17,2022-11-14T17:58:48,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
