name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ladakh,03-11-2022,36.1,20.4,27.7,35.3,20.4,27.1,10.5,36.7,0,0,0,,0,0,9.4,9,324.5,1012.6,0,17.4,226,19.7,8,10,2022-11-03T06:48:42,2022-11-03T18:00:20,0.37,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,04-11-2022,37.1,20.9,27.7,35.2,20.9,27,10.5,37.3,0,0,0,,0,0,14.4,12.2,289.8,1013.2,0.7,17.4,225.5,19.7,8,10,2022-11-04T06:49:18,2022-11-04T17:59:44,0.42,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,05-11-2022,36.4,21.1,27.5,34.9,21.1,26.9,8.8,33.5,0,0,0,,0,0,13.7,11.9,298.4,1014.2,18.2,17.4,222.3,19.2,8,10,2022-11-05T06:49:55,2022-11-05T17:59:10,0.45,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,06-11-2022,35.4,21.1,27.6,34.3,21.1,27,8.7,32.9,0,0,0,,0,0,14,11.2,314.1,1014.5,77.5,17.4,205.4,17.6,8,10,2022-11-06T06:50:32,2022-11-06T17:58:37,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42539099999,remote"
Ladakh,07-11-2022,33.3,22.1,27.2,31.7,22.1,26.7,10.7,37.5,0,0,0,,0,0,23.8,10.4,299.3,1013.5,67.2,17.4,208.5,18.1,8,10,2022-11-07T06:51:10,2022-11-07T17:58:05,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42539099999,remote"
Ladakh,08-11-2022,34.4,21.4,26.5,32.8,21.4,26,10.9,40,0,0,0,,0,0,21.6,11.9,321.8,1013.5,3.2,17.4,216.6,18.8,8,10,2022-11-08T06:51:48,2022-11-08T17:57:34,0.5,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,09-11-2022,33.9,20.2,26.1,32.9,20.2,25.6,11,41,0,0,0,,0,0,21.6,10.8,325.6,1013.9,0,17.4,214.8,18.7,8,10,2022-11-09T06:52:27,2022-11-09T17:57:05,0.51,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,10-11-2022,33.1,20.2,26,31.8,20.2,25.5,11,41.4,0,0,0,,0,0,15.8,13,11.3,1015.2,0,17.4,214.1,18.5,8,10,2022-11-10T06:53:06,2022-11-10T17:56:37,0.53,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,11-11-2022,34.1,21,26.2,32.3,21,25.6,8.4,34.3,0,0,0,,0,0,25.2,15.1,33.8,1015.8,7,17.4,215.5,18.7,8,10,2022-11-11T06:53:46,2022-11-11T17:56:10,0.54,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,12-11-2022,33.4,20.1,25.7,31.7,20.1,25.1,7.4,32.8,0,0,0,,0,0,16.2,13,54.3,1015.8,2.5,17.4,213.8,18.6,8,10,2022-11-12T06:54:26,2022-11-12T17:55:45,0.58,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,13-11-2022,31.9,18.7,24.8,30.2,18.7,24.2,7.4,35.2,0,0,0,,0,0,11.5,11.5,130.7,1014.6,7.6,17.4,214.3,18.6,8,10,2022-11-13T06:55:06,2022-11-13T17:55:21,0.62,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,14-11-2022,32.4,19.1,24.7,30.8,19.1,24.2,8.7,38.2,0,0,0,,0,0,15.1,11.9,138.9,1014.3,0,17.4,212.3,18.5,8,10,2022-11-14T06:55:46,2022-11-14T17:54:59,0.66,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,15-11-2022,32.1,19.7,25,31.1,19.7,24.6,10.1,40.9,0,0,0,,0,0,9.7,9.7,45.3,1014.5,0,17.4,209.4,17.9,8,10,2022-11-15T06:56:27,2022-11-15T17:54:38,0.7,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,16-11-2022,32.1,20.2,25.2,30,20.2,24.7,10.5,41.6,0,0,0,,0,0,23.4,13.7,26.1,1014.1,0,17.4,206.8,17.8,7,10,2022-11-16T06:57:08,2022-11-16T17:54:18,0.75,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,17-11-2022,30.9,19.7,24.3,29.7,19.7,23.9,5.8,32.2,0,0,0,,0,0,19.4,13.7,36.5,1014.6,0,17.4,210.5,18.2,8,10,2022-11-17T06:57:50,2022-11-17T17:54:00,0.8,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,18-11-2022,31.1,17.4,24.1,29.1,17.4,23.6,4.2,29.6,0,0,0,,0,0,16.2,13.3,61.5,1014.9,0,17.4,209.8,18,8,10,2022-11-18T06:58:31,2022-11-18T17:53:43,0.85,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,19-11-2022,30.7,17.1,23.2,28.9,17.1,22.8,6.2,36.2,0,0,0,,0,0,15.5,13.3,85.4,1015.2,0,17.4,209,17.9,8,10,2022-11-19T06:59:13,2022-11-19T17:53:28,0.89,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,20-11-2022,31.4,17.7,23.7,29.7,17.7,23.3,7.7,38.4,0,0,0,,0,0,17.6,16.6,34.2,1013.9,0,17.4,205.5,17.8,7,10,2022-11-20T06:59:56,2022-11-20T17:53:14,0.93,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,21-11-2022,31.7,17.4,23.4,29.9,17.4,23,6.5,36.3,0,0,0,,0,0,19.1,14,54.8,1013.5,0,17.4,207.3,17.8,8,10,2022-11-21T07:00:38,2022-11-21T17:53:01,0.97,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,22-11-2022,30.9,16.7,23.1,29,16.7,22.7,5.4,34.2,0,0,0,,0,0,14.8,13,26.6,1013.7,9.5,17.4,206.1,17.8,8,10,2022-11-22T07:01:20,2022-11-22T17:52:50,0.99,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,23-11-2022,31.4,16.2,22.8,29.6,16.2,22.4,4.8,33.7,0,0,0,,0,0,14.8,13,47.4,1014.2,43.9,17.4,198.7,17.2,7,10,2022-11-23T07:02:03,2022-11-23T17:52:41,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42539099999,remote"
Ladakh,24-11-2022,31.1,15.7,22.4,29.2,15.7,22,5,34.9,0,0,0,,0,0,12.2,12.2,59.1,1013.8,3,17.4,205.5,17.7,8,10,2022-11-24T07:02:45,2022-11-24T17:52:33,0,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,25-11-2022,30.4,15.7,22.4,28.6,15.7,22,4.1,33.2,0,0,0,,0,0,11.5,11.2,60,1014.5,2.9,17.4,206,17.7,8,10,2022-11-25T07:03:28,2022-11-25T17:52:26,0.02,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,26-11-2022,30.7,15.1,22.2,28.8,15.1,21.8,3,31.5,0,0,0,,0,0,9,8.6,38.6,1013.2,0,17.4,206.4,17.7,8,10,2022-11-26T07:04:11,2022-11-26T17:52:21,0.04,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,27-11-2022,30.4,14.1,21.8,28.7,14.1,21.5,3.7,33.1,0,0,0,,0,0,9.4,8.6,39.1,1010.6,0,17.4,204.3,17.6,7,10,2022-11-27T07:04:54,2022-11-27T17:52:17,0.08,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,28-11-2022,30.7,15.1,22.2,28.9,15.1,21.8,4.1,33.6,0,0,0,,0,0,7.6,7.6,33,1011.1,0.6,17.4,202.2,17.5,7,10,2022-11-28T07:05:36,2022-11-28T17:52:15,0.13,Clear,Clear conditions throughout the day.,clear-day,"42539099999,remote"
Ladakh,29-11-2022,30.7,15.7,22.5,28.9,15.7,22.1,4.7,34.1,0,0,0,,0,0,11.2,9.7,40.4,1012.9,25.6,17.4,200.7,17.5,7,10,2022-11-29T07:06:19,2022-11-29T17:52:15,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42539099999,remote"
Ladakh,30-11-2022,29.9,16.1,22.4,28.2,16.1,22,5.6,35.9,0,0,0,,0,0,10.8,10.8,50.5,1014.3,23.1,18.2,199,17.2,7,10,2022-11-30T07:07:01,2022-11-30T17:52:16,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42539099999,remote"
Ladakh,01-12-2022,28.9,16.3,21.7,27.3,16.3,21.3,2.3,29.1,0,0,0,,0,0,11.2,9,87.1,1013.9,0,24.1,204,17.6,7,10,2022-12-01T07:07:44,2022-12-01T17:52:18,0.3,Clear,Clear conditions throughout the day.,clear-day,remote
Ladakh,02-12-2022,28,15.5,20.8,26.7,15.5,20.6,2.8,31.2,0,0,0,,0,0,8.6,8.6,99.5,1012.6,0,24.1,202.7,17.5,7,10,2022-12-02T07:08:26,2022-12-02T17:52:22,0.35,Clear,Clear conditions throughout the day.,clear-day,remote
Ladakh,03-12-2022,27.9,16.1,21,26.6,16.1,20.7,1.6,28.6,0,0,0,,0,0,9.4,9,23,1013,59.7,24.1,191.2,16.6,7,10,2022-12-03T07:09:08,2022-12-03T17:52:27,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Ladakh,04-12-2022,28.4,15.5,21,26.9,15.5,20.7,1.3,28,0,0,0,,0,0,11.2,11.2,21.2,1014.1,17,24.1,199.9,17.4,7,10,2022-12-04T07:09:49,2022-12-04T17:52:34,0.44,Clear,Clear conditions throughout the day.,clear-day,remote
