name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lakshadweep,03-11-2022,32.4,26.6,28.4,40.6,26.6,30.8,22.6,70.2,0,0,0,,0,,18.4,16.9,349.8,1009.7,15.4,19.2,266.5,22.8,9,10,2022-11-03T06:02:35,2022-11-03T17:45:15,0.37,Clear,Clear conditions throughout the day.,clear-day,"43311099999,23492_maritime,43266099999,remote"
Lakshadweep,04-11-2022,32.1,26.1,28.4,39.1,26.1,31.4,22.9,71.5,1.9,100,16.67,rain,0,,10.4,10.4,276.6,1010.1,43.8,18.7,252.3,22,9,10,2022-11-04T06:02:51,2022-11-04T17:44:59,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43311099999,43266099999,23492_maritime,remote"
Lakshadweep,05-11-2022,30.1,26.5,28,37.3,26.5,30.8,23.1,74.9,1.3,100,16.67,rain,0,,11.5,10.8,149.8,1011.5,76.1,17.2,199.2,17.2,8,10,2022-11-05T06:03:07,2022-11-05T17:44:45,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43311099999,23492_maritime,43266099999,remote"
Lakshadweep,06-11-2022,29.7,25.4,27.7,36.1,25.4,29.9,23.1,76.4,1,100,4.17,rain,0,,13,13,196.8,1012.3,44.3,15.1,217.1,18.8,7,30,2022-11-06T06:03:24,2022-11-06T17:44:32,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43311099999,23492_maritime,43266099999,remote"
Lakshadweep,07-11-2022,29.5,25.2,27.8,36.6,25.2,30,22.8,74.4,0.4,100,8.33,rain,0,,10.8,11.2,295.2,1012.1,35.1,18.4,256.9,22.4,9,10,2022-11-07T06:03:42,2022-11-07T17:44:20,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43311099999,23492_maritime,43266099999,remote"
Lakshadweep,08-11-2022,32.7,25.7,28.4,41.9,25.7,31.3,23.3,74.2,1.8,100,12.5,rain,0,,15.8,14.4,354.5,1011.5,18.1,17.9,257.7,22.4,9,30,2022-11-08T06:04:01,2022-11-08T17:44:09,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"43311099999,23492_maritime,43266099999,remote"
Lakshadweep,09-11-2022,31.7,25.9,28.3,39.6,25.9,30.8,23.1,73.2,0,0,0,,0,,16.2,15.8,357.5,1010.9,46.7,18.4,254.8,22.2,9,10,2022-11-09T06:04:20,2022-11-09T17:43:59,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43311099999,43266099999,23492_maritime,remote"
Lakshadweep,10-11-2022,32.2,25.9,28.5,40.2,25.9,31.1,23,72.5,0,0,0,,0,,24.5,21.6,18.7,1010.6,29.9,18.4,260.5,22.6,9,30,2022-11-10T06:04:40,2022-11-10T17:43:51,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43311099999,23492_maritime,43266099999,remote"
Lakshadweep,11-11-2022,31.4,25.7,28.1,36.9,25.7,29.9,21.9,69.3,0,0,0,,0,,17.3,16.2,17.3,1010.3,55.7,18.4,245.2,21.3,8,10,2022-11-11T06:05:00,2022-11-11T17:43:43,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43311099999,23492_maritime,43266099999,remote"
Lakshadweep,12-11-2022,28.5,24.7,27.4,32.3,24.7,29.3,22.2,73.9,1,100,4.17,rain,0,,19.4,14.4,341.4,1010.6,93.8,16.6,91.9,8,6,30,2022-11-12T06:05:21,2022-11-12T17:43:36,0.58,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43311099999,23492_maritime,43266099999,remote"
