name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madhya Pradesh,03-11-2022,32.3,16.7,24.2,30.6,16.7,23.6,10.2,45.6,0,0,0,,0,0,12.6,18.4,283,1013.9,0,9.8,230.7,19.9,8,10,2022-11-03T06:26:36,2022-11-03T17:40:59,0.37,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,04-11-2022,33.1,17.5,25,31.6,17.5,24.5,11.3,45.5,0,0,0,,0,0,10.4,5.4,211.8,1015,0,10.2,227.3,19.5,8,10,2022-11-04T06:27:11,2022-11-04T17:40:25,0.42,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,05-11-2022,34,18.7,25,32.4,18.7,24.6,12.4,49.1,0,0,0,,0,0,10.8,9.4,161.2,1015.8,6.4,12.1,224.3,19.4,8,10,2022-11-05T06:27:46,2022-11-05T17:39:52,0.45,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,06-11-2022,33,18,25.3,30.7,18,24.7,10,42.6,0,0,0,,0,0,14,7.6,30.4,1016.2,17.1,10.1,210.8,18.1,8,10,2022-11-06T06:28:21,2022-11-06T17:39:21,0.48,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,07-11-2022,32,18.2,24.8,29.9,18.2,24.4,11.3,45.4,0,0,0,,0,0,15.8,67.3,104,1015.8,22.6,10.6,212.1,18.4,8,10,2022-11-07T06:28:57,2022-11-07T17:38:51,0.49,Partially cloudy,Becoming cloudy in the afternoon.,wind,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,08-11-2022,31,19.1,24.2,29.1,19.1,23.8,9.8,43.1,0,0,0,,0,0,14,11.1,123,1015.6,24,11.6,219.5,19,8,10,2022-11-08T06:29:34,2022-11-08T17:38:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,09-11-2022,30.5,18.5,23.8,28.9,18.5,23.4,10.8,46.4,0,0,0,,0,0,16.2,14.7,143.1,1015.9,25.4,10.1,216.9,18.7,8,10,2022-11-09T06:30:11,2022-11-09T17:37:55,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,10-11-2022,30.3,17.8,23.9,29.2,17.8,23.5,11.3,47.3,0,0,0,,0,0,10.8,13,31.2,1016.5,10.2,8.8,215.2,18.7,8,10,2022-11-10T06:30:48,2022-11-10T17:37:28,0.53,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,11-11-2022,29,18.4,23.4,28.7,18.4,23.3,12.5,51.9,0,0,0,,0,0,22,12.6,9.1,1017,30.3,11,214.7,18.6,8,10,2022-11-11T06:31:26,2022-11-11T17:37:03,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,12-11-2022,28,14.9,21.7,26.9,14.9,21.5,8.2,44.6,0,0,0,,0,0,15.5,11.5,20.7,1017.6,5.9,10.6,217.7,18.8,8,10,2022-11-12T06:32:04,2022-11-12T17:36:40,0.58,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
