name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mizoram,03-11-2022,30.1,16.2,22,33.4,16.2,22.8,18.5,81.6,0,0,0,,0,0,7.9,7.6,118.8,1012,53,16.9,179.6,15.7,8,10,2022-11-03T05:25:57,2022-11-03T16:39:10,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,04-11-2022,29.1,17.6,22.3,32.9,17.6,23,20.2,88.9,0.7,100,12.5,rain,0,0,10.8,9.4,129.7,1013.4,60.2,14.9,214.3,18.6,8,30,2022-11-04T05:26:32,2022-11-04T16:38:36,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42726099999,remote,42727099999"
Mizoram,05-11-2022,31.1,16.6,22.2,34.7,16.6,23.3,19.5,86,0.3,100,8.33,rain,0,0,11.2,9.4,135,1015.4,24.2,16.2,164.6,14.2,8,30,2022-11-05T05:27:08,2022-11-05T16:38:02,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42726099999,remote,42727099999"
Mizoram,06-11-2022,30.1,16.1,21.6,33.4,16.1,22.5,19,86.5,0,0,0,,0,0,8.3,9.4,131.8,1015.9,20.7,16,160.8,13.9,8,10,2022-11-06T05:27:44,2022-11-06T16:37:30,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,07-11-2022,29.1,15.7,21.3,32.1,15.7,22,18,83.1,0,0,0,,0,0,6.5,9.4,146.9,1015.2,22.7,16,224.5,19.5,8,10,2022-11-07T05:28:21,2022-11-07T16:36:59,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,08-11-2022,31.1,14.2,20.6,33.1,14.2,20.9,15.5,75.5,0,0,0,,0,0,6.8,5.4,132.2,1015.4,10.9,18.1,227.3,19.5,8,10,2022-11-08T05:28:58,2022-11-08T16:36:29,0.5,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,09-11-2022,30.1,13.5,20.3,30.3,13.5,20.4,14,70.1,0,0,0,,0,0,6.5,7.6,112,1015.4,15.7,17.7,226.6,19.5,8,10,2022-11-09T05:29:36,2022-11-09T16:36:01,0.51,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,10-11-2022,30.1,13.3,20.4,30.1,13.3,20.4,13.8,68.5,0,0,0,,0,0,6.5,7.6,105,1015.3,13.6,18.3,224.9,19.5,8,10,2022-11-10T05:30:14,2022-11-10T16:35:34,0.53,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,11-11-2022,28.1,14.1,20.1,29.3,14.1,20.2,15.5,76.8,0,0,0,,0,0,7.2,5.4,136.6,1014.6,34.9,16.7,215.6,18.7,8,10,2022-11-11T05:30:53,2022-11-11T16:35:08,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,12-11-2022,28.1,13.8,19.8,29.3,13.8,20,15.6,79.7,0,0,0,,0,0,7.2,11.2,107.7,1014.6,27.7,17,219.3,19,8,10,2022-11-12T05:31:32,2022-11-12T16:34:44,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,13-11-2022,28.1,12.6,19.2,28.9,12.6,19.4,14.9,78.9,0,0,0,,0,0,4.7,9.4,96.8,1014.1,11.2,18.2,222.3,19.2,8,10,2022-11-13T05:32:11,2022-11-13T16:34:21,0.62,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,14-11-2022,29.1,12.1,19.1,30.4,12.1,19.3,14,74.3,0,0,0,,0,0,5.4,9.4,120.6,1014.2,8.2,17.6,222.2,19.2,8,10,2022-11-14T05:32:50,2022-11-14T16:33:59,0.66,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,15-11-2022,29.2,11.8,19,29.9,11.8,19.1,12.9,70.2,0,0,0,,0,0,6.1,5.4,131.8,1013.8,10,17.6,221.4,19.2,8,10,2022-11-15T05:33:30,2022-11-15T16:33:39,0.7,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,16-11-2022,28.1,11.3,18.7,29.7,11.3,18.9,12.9,70.5,0,0,0,,0,0,5.8,9.4,114.8,1012.8,10.4,17.6,220.7,19.2,8,10,2022-11-16T05:34:11,2022-11-16T16:33:20,0.75,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,17-11-2022,27.1,11.5,18.3,28.8,11.5,18.5,13.2,73.5,0,0,0,,0,0,7.9,9.4,108.2,1012.9,8.8,17,218.7,18.9,8,10,2022-11-17T05:34:51,2022-11-17T16:33:02,0.8,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,18-11-2022,27.8,11.3,18.3,29,11.3,18.4,12.6,71.8,0,0,0,,0,0,7.9,9.4,103.1,1013.8,12.1,17.4,219.6,19.1,8,10,2022-11-18T05:35:32,2022-11-18T16:32:46,0.85,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,19-11-2022,29.1,11.9,20,31.4,11.9,20.3,13.4,66.9,0,0,0,,0,0,6.5,7.6,94.5,1013.5,60.2,16.8,199.8,17.2,7,10,2022-11-19T05:36:13,2022-11-19T16:32:32,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,20-11-2022,30.1,17.7,22.8,33.4,17.7,23.6,16.3,67.5,0,0,0,,0,0,12.2,7.6,95.8,1009.7,60.6,16.7,174,15.1,7,10,2022-11-20T05:36:54,2022-11-20T16:32:18,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,21-11-2022,29.4,17.2,22.2,33.3,17.2,23,18.2,79.3,0.1,100,4.17,rain,0,0,8.6,9.4,71.4,1011.1,59.3,18.4,150.5,13,7,10,2022-11-21T05:37:36,2022-11-21T16:32:07,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42726099999,remote,42727099999"
Mizoram,22-11-2022,28.1,16,21.2,30.5,16,21.5,18.6,86.3,0,0,0,,0,0,8.3,13,22.2,1011.4,37,15.9,206.6,17.9,8,10,2022-11-22T05:38:18,2022-11-22T16:31:56,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,23-11-2022,28.1,13.9,19.6,30.2,13.9,19.8,16.5,84.8,0,0,0,,0,0,5.8,11.2,38,1012.1,30.2,16.9,211.4,18.2,8,10,2022-11-23T05:38:59,2022-11-23T16:31:48,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,24-11-2022,27.8,11.8,18.9,28.6,11.8,19,14.7,79.1,0,0,0,,0,0,5,11.2,66.5,1012.7,24.4,17.1,212.1,18.2,8,10,2022-11-24T05:39:41,2022-11-24T16:31:40,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,25-11-2022,29.1,12.2,19.4,30.4,12.2,19.5,13.7,71.6,0,0,0,,0,0,6.8,11.2,119.9,1013.2,12.6,17.1,209.5,18,8,10,2022-11-25T05:40:23,2022-11-25T16:31:34,0.02,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,26-11-2022,30.1,12.7,20.1,31.4,12.7,20.4,14.3,71.4,0,0,0,,0,0,10.1,7.6,100.9,1012.3,7.1,16.5,207.4,17.8,8,10,2022-11-26T05:41:05,2022-11-26T16:31:30,0.04,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,27-11-2022,30.1,13.6,21.3,30.9,13.6,21.4,14.8,68.5,0,0,0,,0,0,13.7,16.6,160.6,1010.7,39.8,17,203,17.4,7,10,2022-11-27T05:41:47,2022-11-27T16:31:27,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,28-11-2022,28.1,19.1,22.3,31.4,19.1,22.8,18.9,81.4,0.1,100,4.17,rain,0,0,5,7.6,31,1011.7,89.3,16.4,53.7,4.7,3,10,2022-11-28T05:42:29,2022-11-28T16:31:25,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42726099999,remote,42727099999"
Mizoram,29-11-2022,29.1,18,22.2,32.9,18,23,20.4,90.1,1.4,100,29.17,rain,0,0,5,5.4,99.5,1013.2,61.1,16,138.4,11.7,7,60,2022-11-29T05:43:11,2022-11-29T16:31:25,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42726099999,remote,42727099999"
Mizoram,30-11-2022,29.1,17.6,21.2,32.1,17.6,21.5,20,93.8,0.8,100,4.17,rain,0,0,4.7,5.4,94.3,1013.9,57,16,187.5,16.2,7,30,2022-11-30T05:43:53,2022-11-30T16:31:27,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42726099999,remote,42727099999"
Mizoram,01-12-2022,26.3,17.2,20.6,26.3,17.2,20.6,18.7,90,2.6,100,37.5,rain,0,0,6.1,5,58.1,1012.9,39.3,22.5,183,15.8,7,30,2022-12-01T05:44:35,2022-12-01T16:31:29,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Mizoram,02-12-2022,28.8,15.4,20.1,28.3,15.4,20,15.5,79.2,0,0,0,,0,0,9.7,4.7,95.4,1012.4,9.7,24.1,197.9,17.1,7,10,2022-12-02T05:45:16,2022-12-02T16:31:34,0.35,Clear,Clear conditions throughout the day.,clear-day,remote
Mizoram,03-12-2022,28.6,13.4,19.2,27.8,13.4,19.1,13.7,75.1,0,0,0,,0,0,9,4,97,1013,0.7,24.1,199.3,17.3,7,10,2022-12-03T05:45:58,2022-12-03T16:31:39,0.4,Clear,Clear conditions throughout the day.,clear-day,remote
Mizoram,04-12-2022,28.5,13.6,19.3,28,13.6,19.3,14.2,76.5,0,0,0,,0,0,8.3,4.7,60.8,1013.3,1.2,24.1,196.9,17.1,7,10,2022-12-04T05:46:39,2022-12-04T16:31:47,0.44,Clear,Clear conditions throughout the day.,clear-day,remote
