name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nagaland,03-11-2022,23.2,14.7,18.2,23.2,14.7,18.2,12.4,70.5,0.6,100,25,rain,0,0,7.6,10.8,161.8,1013.4,51.2,22.3,201.4,17.5,8,10,2022-11-03T05:22:52,2022-11-03T16:31:11,0.37,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"42527099999,remote"
Nagaland,04-11-2022,23.3,14.6,17.7,23.3,14.6,17.7,14.3,81.5,2.1,100,25,rain,0,0,8.6,10.1,155.1,1015.3,12.4,22.6,215.9,18.8,8,30,2022-11-04T05:23:31,2022-11-04T16:30:33,0.42,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,05-11-2022,22.7,14.5,17.5,22.7,14.5,17.5,13.9,80.1,2.5,100,29.17,rain,0,0,7.6,9.7,162.2,1017.2,0.4,22.3,216.5,18.8,8,30,2022-11-05T05:24:10,2022-11-05T16:29:56,0.45,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"42527099999,remote"
Nagaland,06-11-2022,23,14.4,17.3,23,14.4,17.3,13,77.1,1.8,100,25,rain,0,0,6.8,9.7,155.4,1017.5,3.3,22.1,211.6,18.3,7,30,2022-11-06T05:24:50,2022-11-06T16:29:21,0.48,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,07-11-2022,22.5,14.1,17.2,22.5,14.1,17.2,12.7,75.5,0.7,100,20.83,rain,0,0,7.2,8.6,160.8,1016.8,4.7,22,211.3,18.4,7,10,2022-11-07T05:25:30,2022-11-07T16:28:47,0.49,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"42527099999,remote"
Nagaland,08-11-2022,22.5,13.7,17,22.5,13.7,17,12.5,75.8,0.1,100,4.17,rain,0,0,8.3,10.1,163.4,1016.7,5.9,22.4,209.5,18.1,8,10,2022-11-08T05:26:10,2022-11-08T16:28:14,0.5,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,09-11-2022,22.4,13.5,17.1,22.4,13.5,17.1,12.9,77.9,0.1,100,4.17,rain,0,0,8.6,10.1,147.7,1016.8,41,23.3,204.6,17.6,7,10,2022-11-09T05:26:51,2022-11-09T16:27:42,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,10-11-2022,22.5,13.8,17,22.5,13.8,17,12.9,77.4,0.1,100,4.17,rain,0,0,9,10.4,163.4,1016.7,4,22.4,210.4,18.2,8,10,2022-11-10T05:27:32,2022-11-10T16:27:12,0.53,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,11-11-2022,22.5,13.4,16.8,22.5,13.4,16.8,12.6,77.7,0.1,100,4.17,rain,0,0,9.7,10.4,157.7,1016.2,5.3,22.4,210.4,18.1,8,10,2022-11-11T05:28:14,2022-11-11T16:26:43,0.54,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,12-11-2022,21.5,13.2,16.5,21.5,13.2,16.5,12.3,77.8,0.4,100,16.67,rain,0,0,8.6,10.4,181.8,1015.8,11.2,22.3,201.3,17.4,8,10,2022-11-12T05:28:56,2022-11-12T16:26:16,0.58,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,13-11-2022,21.4,12.6,16.1,21.4,12.6,16.1,12.3,79.9,0.3,100,12.5,rain,0,0,9,10.8,137,1016,7.8,22.4,200.5,17.4,8,10,2022-11-13T05:29:38,2022-11-13T16:25:50,0.62,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,14-11-2022,21.8,12.1,15.9,21.8,12.1,15.9,11,74.2,0,0,0,,0,0,8.6,10.4,143,1015.7,0.8,22.4,209.6,18.2,8,10,2022-11-14T05:30:20,2022-11-14T16:25:25,0.66,Clear,Clear conditions throughout the day.,clear-day,"42527099999,remote"
Nagaland,15-11-2022,21.9,12.5,16.1,21.9,12.5,16.1,10.2,69.5,0,0,0,,0,0,7.9,9.7,167.5,1014.8,0,22.4,207.8,17.9,8,10,2022-11-15T05:31:03,2022-11-15T16:25:02,0.7,Clear,Clear conditions throughout the day.,clear-day,"42527099999,remote"
Nagaland,16-11-2022,21.7,12.3,15.8,21.7,12.3,15.8,11.5,76.4,0.2,100,8.33,rain,0,0,9.4,10.4,169.6,1013.9,0.3,22.4,205.9,17.8,8,10,2022-11-16T05:31:46,2022-11-16T16:24:40,0.75,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,17-11-2022,21.2,12.1,15.6,21.2,12.1,15.6,11.1,75.7,0.1,100,4.17,rain,0,0,9,10.4,157.7,1014.1,0.9,22.3,204.9,17.8,8,10,2022-11-17T05:32:30,2022-11-17T16:24:20,0.8,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,18-11-2022,21.5,12,15.6,21.5,12,15.6,10.2,71.8,0.1,100,4.17,rain,0,0,9.4,10.1,144.1,1015.7,7.2,22.4,205.6,17.9,8,10,2022-11-18T05:33:13,2022-11-18T16:24:01,0.85,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
