name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Punducherry,03-11-2022,29.3,22.7,24.9,32.7,22.7,25.5,22.9,89.6,37.086,100,25,rain,0,0,26.6,22.7,17.1,1010.2,90.3,11.6,229.1,19.8,9,10,2022-11-03T06:03:41,2022-11-03T17:44:40,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,04-11-2022,30.9,23.4,25.7,39.1,23.4,27,23.2,86.6,2.864,100,4.17,rain,0,0,25.6,19.8,37,1011.4,87.3,15.4,155.6,13.5,7,30,2022-11-04T06:03:58,2022-11-04T17:44:24,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,05-11-2022,31.6,23.4,26.7,39.5,23.4,28.5,23.1,81.7,22.452,100,12.5,rain,0,0,29.2,19.8,41,1012.8,44.6,17.6,262.3,22.6,9,10,2022-11-05T06:04:16,2022-11-05T17:44:09,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,06-11-2022,30,22.8,25.8,36.9,22.8,26.8,22.4,82.7,12.239,100,16.67,rain,0,0,35.6,25.6,24.2,1013.2,79.9,15.9,221.7,19.1,8,10,2022-11-06T06:04:34,2022-11-06T17:43:55,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,07-11-2022,32,22.2,25.9,39.9,22.2,27.3,22.1,80,2,100,25,rain,0,0,32.8,21.2,16.1,1012.6,59.4,17.3,241,20.8,8,30,2022-11-07T06:04:53,2022-11-07T17:43:41,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,08-11-2022,30.3,22.4,25.7,33.3,22.4,26.9,22.8,84.8,0.573,100,4.17,rain,0,0,37.4,24.1,26.1,1012.3,74.9,15.9,208.4,17.9,8,30,2022-11-08T06:05:13,2022-11-08T17:43:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,09-11-2022,30,22.5,25.7,37.3,22.5,26.9,22.6,83.5,9.547,100,4.17,rain,0,0,36.7,21.6,16.3,1011.8,72,17.5,144,12.3,5,10,2022-11-09T06:05:33,2022-11-09T17:43:18,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,10-11-2022,30.8,21.9,26,37.6,21.9,27.1,22,80.2,1.025,100,8.33,rain,0,0,37.1,22.3,14.9,1010.9,63.7,17.9,241.2,20.7,9,10,2022-11-10T06:05:54,2022-11-10T17:43:08,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,11-11-2022,25.2,22.6,23.5,25.2,22.6,23.5,22.8,95.6,99.876,100,33.33,rain,0,0,55.8,32.8,353.2,1009.6,100,6.1,9.5,0.8,0,10,2022-11-11T06:06:15,2022-11-11T17:43:00,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43331099999,43329099999,43207099999,remote"
Punducherry,12-11-2022,29.8,23.9,26,36,23.9,27.5,24,89.1,29.236,100,16.67,rain,0,0,28.4,15.5,75.8,1009.8,95.4,11.9,158.1,13.7,6,30,2022-11-12T06:06:38,2022-11-12T17:42:52,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"43331099999,43329099999,43207099999,remote"
