name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Punjab,03-11-2022,31.6,19.6,24.4,29.6,19.6,24.1,9.4,40.5,0,0,0,,0,0,17.6,14.4,347.7,1011.2,33.4,20.4,175.9,15.2,7,10,2022-11-03T06:43:00,2022-11-03T17:36:56,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,04-11-2022,31.1,19.1,24.1,29.3,19.1,23.8,10,42.6,0,0,0,,0,0,13.3,11.2,68.9,1012.8,48,20.4,168.3,14.5,6,10,2022-11-04T06:43:49,2022-11-04T17:36:08,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,05-11-2022,30.5,18.7,23.7,29.3,18.7,23.6,13.6,54.8,0,0,0,,0,0,26.3,14.8,116,1014.5,26.7,20.3,176.5,15.2,7,10,2022-11-05T06:44:37,2022-11-05T17:35:22,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,06-11-2022,31.1,18.8,24.3,29.9,18.8,24.1,13.2,52,0,0,0,,0,0,33.8,15.8,105,1015.1,58.9,20.5,157.1,13.7,6,10,2022-11-06T06:45:27,2022-11-06T17:34:37,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,07-11-2022,31.4,19.6,24.4,31.4,19.6,24.2,10.9,46.4,0,0,0,,0,0,25.2,12.6,136.3,1014.2,51.4,20.3,166.9,14.5,6,30,2022-11-07T06:46:16,2022-11-07T17:33:54,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,08-11-2022,29.8,17,22.8,28.3,17,22.6,10.1,47.2,0,0,0,,0,0,7.6,7.2,353.8,1014.9,8.2,20.2,173.8,15.2,7,10,2022-11-08T06:47:06,2022-11-08T17:33:12,0.5,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,09-11-2022,28.6,18.2,22.7,27.8,18.2,22.6,10.7,48.7,1.2,100,20.83,rain,0,0,11.5,9,121.1,1015.3,47.6,20.1,149.8,12.9,6,10,2022-11-09T06:47:56,2022-11-09T17:32:31,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42077099999,42099099999,remote"
Punjab,10-11-2022,27.6,17.4,22,26.7,17.4,21.9,9.8,47.3,0.1,100,4.17,rain,0,0,20.5,10.8,353.5,1016.8,30.9,20.5,168.4,14.5,6,10,2022-11-10T06:48:46,2022-11-10T17:31:52,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42077099999,42099099999,remote"
Punjab,11-11-2022,27.2,16.3,21,26.4,16.3,20.9,7.3,43.8,0,0,0,,0,0,19.8,14.4,334.9,1017,0,20.6,172.7,15.1,7,10,2022-11-11T06:49:37,2022-11-11T17:31:14,0.54,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,12-11-2022,27,15.2,20.2,26.7,15.2,20.1,4.2,37.4,0,0,0,,0,0,21.2,16.2,332.3,1016.5,2.5,20.5,173.6,15.1,7,10,2022-11-12T06:50:28,2022-11-12T17:30:38,0.58,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
