name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Telangana,03-11-2022,29.4,19.2,24.4,29.5,19.2,24.5,17,65.4,0,0,0,,0,0,22,14.8,56.4,1014.3,33.1,4.9,248,21.5,9,10,2022-11-03T06:15:17,2022-11-03T17:43:50,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,04-11-2022,29.1,20.9,24.7,30.8,20.9,25.2,19.3,73.1,0,0,0,rain,0,0,23,13.1,63.7,1015.6,52.5,4.4,174.5,15.2,8,10,2022-11-04T06:15:42,2022-11-04T17:43:26,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,05-11-2022,29.4,19.8,24.3,30.4,19.8,24.5,18.6,73.2,0,0,0,,0,0,22.3,15.7,74.4,1017.1,51.5,4.7,248,21.5,9,10,2022-11-05T06:16:08,2022-11-05T17:43:03,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,06-11-2022,30,17.4,23,29.4,17.4,23,16.6,70.6,0,0,0,,0,0,19.1,15.1,81.7,1017.7,30.9,5.1,254.2,21.9,9,10,2022-11-06T06:16:35,2022-11-06T17:42:40,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,07-11-2022,29.9,17.5,23.5,29.1,17.5,23.3,15.2,64.5,0,0,0,,0,0,20.9,15.3,79.5,1016.8,27.7,5.3,253.6,21.8,9,10,2022-11-07T06:17:01,2022-11-07T17:42:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,08-11-2022,29.9,17,23.4,28.6,17,23.1,12.8,57.6,0,0,0,,0,0,20.9,14.2,59.9,1016.3,23.6,5.5,246.3,21.3,9,10,2022-11-08T06:17:29,2022-11-08T17:42:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,09-11-2022,28.5,17,22.8,28,17,22.7,14.5,61.9,0,0,0,,0,0,26.3,13.1,79.7,1016.3,26.6,5.3,252.7,21.8,9,10,2022-11-09T06:17:57,2022-11-09T17:41:41,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,10-11-2022,28.7,18,23.4,28.3,18,23.3,15.7,65.3,0,0,0,,0,0,27,14.9,51.9,1016.2,32.9,4.9,248.1,21.5,9,10,2022-11-10T06:18:26,2022-11-10T17:41:23,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,11-11-2022,29.9,20,24.1,28.5,20,23.9,13.4,54.3,0,0,0,,0,0,32,22.7,48,1016,40.9,5,237.6,20.6,9,10,2022-11-11T06:18:55,2022-11-11T17:41:07,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Telangana,12-11-2022,29.8,18.5,24,29.3,18.5,24,14.4,56,0,0,0,,0,0,32.4,16.6,56.3,1016.1,35,5.5,230.8,19.8,8,10,2022-11-12T06:19:24,2022-11-12T17:40:52,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
