name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Uttar Pradesh,03-11-2022,31,18,23.8,34.6,18,24.5,19.8,80.1,0,0,0,,0,0,15.1,7.6,287.7,1011,2.8,2.8,190,16.6,7,10,2022-11-03T06:17:08,2022-11-03T17:22:16,0.37,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,04-11-2022,29.2,19,23.8,34.6,19,24.9,21.2,86.2,0,0,0,,0,0,11.2,3.6,25.6,1012.7,0,1.5,192,16.7,7,10,2022-11-04T06:17:49,2022-11-04T17:21:36,0.42,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,05-11-2022,30,20,24.7,34.2,20,25.7,21.2,81.9,0,0,0,,0,0,12.2,7.6,108.7,1015.1,0.3,2.2,190.3,16.5,7,10,2022-11-05T06:18:30,2022-11-05T17:20:57,0.45,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,06-11-2022,29.6,19,24.1,31.4,19,24.7,20.1,79.7,0,0,0,,0,0,10.4,5.4,82.3,1015.4,25.4,2.1,172.8,15,7,10,2022-11-06T06:19:12,2022-11-06T17:20:20,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK"
Uttar Pradesh,07-11-2022,30.6,19,24.1,32.6,19,24.8,19.3,76.4,0,0,0,,0,0,7.9,4.7,168.2,1014.5,40.3,4.1,176.8,15.2,7,10,2022-11-07T06:19:54,2022-11-07T17:19:44,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,08-11-2022,30.4,19,24.1,32.6,19,24.9,20.1,80,0,0,0,,0,0,7.9,3.6,163.2,1014.7,16.3,2.7,182.3,15.7,7,10,2022-11-08T06:20:37,2022-11-08T17:19:09,0.5,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,09-11-2022,29.3,20,23.9,32,20,24.5,20.5,82.7,0,0,0,,0,0,13.7,7.6,249.9,1014.9,0.1,2.3,181.8,15.8,7,10,2022-11-09T06:21:20,2022-11-09T17:18:36,0.51,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,10-11-2022,29,19,23.4,31.4,19,23.9,20.3,84.1,0,0,0,,0,0,16.2,11.2,328.1,1015.5,0,2,181,15.6,7,10,2022-11-10T06:22:03,2022-11-10T17:18:03,0.53,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,11-11-2022,29,18,22.3,29.3,18,22.5,17.2,74.6,0,0,0,,0,0,27,11.2,321.1,1015.3,0,2.8,185.3,15.9,7,10,2022-11-11T06:22:46,2022-11-11T17:17:33,0.54,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,12-11-2022,27.3,16,20.7,27.9,16,20.7,15.3,73.3,0,0,0,,0,0,23.4,11.2,287.3,1014.8,0,2.2,186.9,16.3,7,10,2022-11-12T06:23:30,2022-11-12T17:17:04,0.58,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,13-11-2022,28.1,14,20.1,27.7,14,20.2,14.5,72.6,0,0,0,,0,0,21.6,11.2,285.1,1014.1,0.6,2.2,186.1,15.9,7,10,2022-11-13T06:24:14,2022-11-13T17:16:36,0.62,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,14-11-2022,27.9,13,20,27.4,13,20,14.5,74.2,0,0,0,,0,0,14.4,9.4,324.8,1015.2,5.8,1.9,182.8,15.8,7,10,2022-11-14T06:24:59,2022-11-14T17:16:09,0.66,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,15-11-2022,29.6,15,21.4,29.1,15,21.4,15.5,71.6,0,0,0,,0,0,19.4,13,293.3,1014.1,0,2.2,179.3,15.5,7,10,2022-11-15T06:25:44,2022-11-15T17:15:44,0.7,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,16-11-2022,28.6,16,21.8,28.6,16,21.8,15.7,71.1,0,0,0,,0,0,16.2,13,290.4,1012.6,3.1,4,177.3,15.4,7,10,2022-11-16T06:26:28,2022-11-16T17:15:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,17-11-2022,26,15,20,26,15,20,13,67.3,0,0,0,,0,0,27,18.4,310,1013.3,0,3.2,182.1,15.7,7,10,2022-11-17T06:27:14,2022-11-17T17:14:59,0.8,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,18-11-2022,25,13,18.5,25,13,18.5,12.4,70.7,0,0,0,,0,0,11.2,9,303.9,1015.2,0,4,180.7,15.7,7,10,2022-11-18T06:27:59,2022-11-18T17:14:38,0.85,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,19-11-2022,25.2,13,18.8,25.2,13,18.8,11.9,67.8,0,0,0,,0,0,7.6,3.6,229.2,1015.5,0,4.9,179.9,15.6,7,10,2022-11-19T06:28:44,2022-11-19T17:14:20,0.89,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,20-11-2022,26.6,13,19.2,26.6,13,19.2,14.5,76.5,0,0,0,,0,0,9.4,5.4,320.8,1013.5,0,3.9,174.6,15.1,7,10,2022-11-20T06:29:30,2022-11-20T17:14:02,0.93,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,21-11-2022,27.4,15,20.1,27.3,15,20.1,14.4,73.2,0,0,0,,0,0,17.6,12.6,292.7,1012.4,0,4,176,15.4,7,10,2022-11-21T06:30:16,2022-11-21T17:13:46,0.97,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,22-11-2022,27.1,13,19.4,26.8,13,19.4,12.9,69.4,0,0,0,,0,0,15.1,11.2,318.7,1012.6,0.1,2.2,176.7,15.4,7,10,2022-11-22T06:31:01,2022-11-22T17:13:32,0.99,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,23-11-2022,26.1,13,18.9,26.1,13,18.9,11.8,66.8,0,0,0,,0,0,16.9,9.4,310,1013.3,11.5,3.3,173,14.9,7,10,2022-11-23T06:31:47,2022-11-23T17:13:19,1,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,24-11-2022,26.1,12,18,26.1,12,18,12.1,71.9,0,0,0,,0,0,12.2,9.4,313.6,1013.5,0,2.1,175.5,15.2,7,10,2022-11-24T06:32:33,2022-11-24T17:13:08,0,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,25-11-2022,26.6,12,18.5,26.6,12,18.5,12.7,72.4,0,0,0,,0,0,13,11.2,329,1015,3.6,1.9,173.5,15.1,7,10,2022-11-25T06:33:19,2022-11-25T17:12:58,0.02,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
Uttar Pradesh,26-11-2022,26.4,13.4,19.1,26.4,13.4,19.1,13,70.1,0,0,0,,0,0,11.9,7.9,280.6,1012.2,0.6,5.7,172,14.8,7,10,2022-11-26T06:34:05,2022-11-26T17:12:50,0.04,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,27-11-2022,27,14,19.4,27.5,14,19.5,14.2,74,0,0,0,,0,0,5.8,4.6,291.2,1010.4,0,4.7,169.3,14.6,7,10,2022-11-27T06:34:50,2022-11-27T17:12:44,0.08,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote"
Uttar Pradesh,28-11-2022,27.1,13,19.2,27.7,13,19.3,15.4,80.7,0,0,0,,0,0,5,3.6,87,1011.9,0,1.6,167.5,14.5,6,10,2022-11-28T06:35:36,2022-11-28T17:12:39,0.13,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK"
