name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Uttarakhand,03-11-2022,26.6,15.7,20.2,26.6,15.7,20.2,12.7,63.9,0,0,0,,0,0,6.5,7.9,60.9,1011.5,18.6,16.7,169.7,14.5,6,10,2022-11-03T06:33:21,2022-11-03T17:28:59,0.37,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote"
Uttarakhand,04-11-2022,25.8,15.9,19.8,25.8,15.9,19.8,13.6,69.2,0,0,0,,0,0,6.1,7.6,95.9,1013.7,28.1,16.7,164.5,14.2,6,10,2022-11-04T06:34:08,2022-11-04T17:28:13,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote"
Uttarakhand,05-11-2022,27.8,15.4,20,28.5,15.4,20.1,14.1,70.2,0,0,0,,0,0,7.9,8.3,92.4,1015.8,15.6,16.6,169.4,14.5,6,30,2022-11-05T06:34:56,2022-11-05T17:27:28,0.45,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote"
Uttarakhand,06-11-2022,28.3,15.4,20.4,29,15.4,20.4,13,65,0,0,0,,0,0,6.1,7.9,48.4,1016.1,44.9,16.7,158.9,13.7,6,10,2022-11-06T06:35:44,2022-11-06T17:26:44,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42114099999,42111099999,remote"
Uttarakhand,07-11-2022,26.8,15.9,20.1,28.1,15.9,20.1,11.8,61.1,0,0,0,,0,0,10.1,8.6,28.6,1015,61,16.7,137.8,11.9,5,10,2022-11-07T06:36:32,2022-11-07T17:26:02,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote"
Uttarakhand,08-11-2022,25.3,15.1,19.5,25.3,15.1,19.5,11.2,61.2,0,0,0,,0,0,11.5,9,22.1,1015.5,28.6,16.5,167.3,14.4,6,10,2022-11-08T06:37:21,2022-11-08T17:25:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote"
Uttarakhand,09-11-2022,25,15.7,19.3,25,15.7,19.3,10.8,60.4,0,0,0,,0,0,9.7,8.6,19.6,1015.7,48.7,16.6,163.3,14.1,6,10,2022-11-09T06:38:10,2022-11-09T17:24:42,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote"
Uttarakhand,10-11-2022,26.6,14.7,18.8,26.6,14.7,18.8,10.5,60.9,0,0,0,,0,0,15.5,11.5,355.3,1016.5,30.9,16.5,158.3,13.5,6,10,2022-11-10T06:38:59,2022-11-10T17:24:04,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote"
Uttarakhand,11-11-2022,26.6,12.1,17.6,26.6,12.1,17.6,8.3,57.3,0,0,0,,0,0,7.9,9.7,344,1016.4,0.8,16.7,165.3,14.4,6,10,2022-11-11T06:39:49,2022-11-11T17:23:27,0.54,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote"
Uttarakhand,12-11-2022,25,11.7,17,25,11.7,17,7.7,57,0,0,0,,0,0,10.1,10.4,359.9,1015.5,0.8,16.7,165.4,14.4,6,10,2022-11-12T06:40:39,2022-11-12T17:22:52,0.58,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote"
