name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
West Bengal,03-11-2022,29.4,22.5,25.7,29.5,22.5,25.8,17.6,62.2,0,0,0,,0,0,15.5,11.2,335,1011.1,55.3,3.5,207.4,17.8,7,10,2022-11-03T05:41:51,2022-11-03T16:58:00,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,04-11-2022,31,21.6,25.9,31.9,21.6,26.4,18.8,66.4,0,0,0,,0,0,15.8,14.8,313.8,1012.4,10.2,3.2,233.3,20.1,8,10,2022-11-04T05:42:25,2022-11-04T16:57:27,0.42,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,05-11-2022,30.3,21.3,26,31.3,21.3,26.5,19.3,68.5,0,0,0,,0,0,14.8,16.6,344.5,1013.7,24.7,3.4,232.6,20.1,8,10,2022-11-05T05:42:59,2022-11-05T16:56:56,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,06-11-2022,30,22.3,26.2,31.3,22.3,26.6,19.2,66.9,0,0,0,,0,0,14.8,11.2,325.4,1013.8,42.2,3.3,230.7,20,8,10,2022-11-06T05:43:33,2022-11-06T16:56:26,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,07-11-2022,30,21.7,25.9,31.3,21.7,26.4,19.3,68.6,0,0,0,,0,0,10.8,9.4,304.1,1013.4,27.3,3,228,19.6,8,10,2022-11-07T05:44:08,2022-11-07T16:55:57,0.49,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,08-11-2022,31,22.5,26.3,32.4,22.5,27.2,20.1,69.4,0,0,0,,0,0,19.1,11.2,307.6,1013.3,34.6,3.1,225,19.4,8,10,2022-11-08T05:44:44,2022-11-08T16:55:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,09-11-2022,30,21.2,25.7,31.9,21.2,26.3,19.7,71.1,0,0,0,,0,0,14.4,13,16.1,1013.3,33.4,3.3,225.1,19.4,8,10,2022-11-09T05:45:19,2022-11-09T16:55:02,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,10-11-2022,30.4,22,25.9,31.8,22,26.5,19.6,69.2,0,0,0,,0,0,16.9,18.4,11.5,1013.4,39.3,3.3,223.7,19.2,8,10,2022-11-10T05:45:56,2022-11-10T16:54:37,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,11-11-2022,30,21,25.7,30.4,21,25.9,18.3,65.4,0,0,0,,0,0,17.3,11.2,336.9,1013.3,33.6,3.1,219.6,18.9,8,10,2022-11-11T05:46:32,2022-11-11T16:54:13,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
West Bengal,12-11-2022,29.4,21,25.3,30.8,21,25.7,18.6,67.6,0,0,0,,0,0,18.7,14.8,346.5,1013.3,32.2,2.5,220.7,19.1,8,10,2022-11-12T05:47:10,2022-11-12T16:53:51,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
