name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Himachal Pradesh,03-11-2022,20.8,10.1,14.7,20.8,10.1,14.7,4.8,54.2,0,0,0,,0,0,16.9,10.1,26.8,1014.1,26.7,17.7,175.8,15.2,7,10,2022-11-03T06:38:03,2022-11-03T17:31:25,0.37,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,04-11-2022,20,10.8,14.8,20,10.8,14.8,5.6,56.2,0,0,0,,0,0,9.4,9,22.4,1015.7,35.8,17.2,165.2,14.4,6,10,2022-11-04T06:38:51,2022-11-04T17:30:37,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,05-11-2022,20.9,10.3,15.3,20.9,10.3,15.3,6.8,59.3,0,0,0,,0,0,8.3,8.3,63.1,1017.8,17.8,17,180.9,15.7,7,10,2022-11-05T06:39:41,2022-11-05T17:29:50,0.45,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42705299999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,06-11-2022,19.9,9.9,14.9,19.9,8.6,14.8,4.8,53.1,0,0,0,,0,0,7.6,9.4,58.9,1018.5,53,17.2,164.9,14.3,6,10,2022-11-06T06:40:30,2022-11-06T17:29:05,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,07-11-2022,19.1,10.7,14.5,19.1,10.7,14.5,4.5,52.9,0,0,0,,0,0,10.8,9.4,21.6,1017.7,56,17.1,160.1,13.7,6,10,2022-11-07T06:41:20,2022-11-07T17:28:21,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,08-11-2022,19,8.9,13.4,19,7.5,13.1,5.6,61.2,0.1,100,4.17,rain,0,0,7.2,9,55.8,1017.9,26.9,17.5,167.3,14.6,7,10,2022-11-08T06:42:10,2022-11-08T17:27:39,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,09-11-2022,17.8,8.2,12.7,17.8,6.8,12.4,5.7,64.3,2,100,16.67,rain,0,0,8.3,8.6,53.6,1018,60.6,16.5,159.8,13.8,6,10,2022-11-09T06:43:01,2022-11-09T17:26:58,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,10-11-2022,18.1,7.7,12.5,18.1,6.1,12.2,6.2,66.9,0.4,100,12.5,rain,0,0,8.3,8.6,19.8,1019.2,48.5,15.8,166.3,14.4,6,10,2022-11-10T06:43:51,2022-11-10T17:26:18,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42083099999,42079099999,42705299999,42078099999,remote,42105099999"
Himachal Pradesh,11-11-2022,16.9,6.5,11.2,16.9,4.6,10.6,2.3,56.9,0,0,0,,0,0,8.6,9.4,36.5,1018.8,1.3,17.2,174.9,15,7,10,2022-11-11T06:44:42,2022-11-11T17:25:40,0.54,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,12-11-2022,16.2,6,10.7,16.2,4,10.1,0,49.9,0,0,0,,0,0,11.2,10.4,26.3,1018,1.3,18.1,175.8,15.1,7,10,2022-11-12T06:45:33,2022-11-12T17:25:04,0.58,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,13-11-2022,16.7,5.5,11.2,16.7,3.1,10.7,-1.5,43.8,0,0,0,,0,0,8.3,10.4,40.8,1016.6,52.1,17.3,167.4,14.4,7,10,2022-11-13T06:46:25,2022-11-13T17:24:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,14-11-2022,16.9,7.1,11.8,16.9,7.1,11.7,3.1,58.9,1.445,100,12.5,rain,0,0,9.4,8.6,53.9,1018.2,90.3,16.9,104.9,9,6,10,2022-11-14T06:47:16,2022-11-14T17:23:55,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42083099999,42079099999,42078099999,remote,42105099999"
Himachal Pradesh,15-11-2022,29.1,6.7,12.8,28.4,5.1,12.4,6.5,67.6,0.1,100,4.17,rain,0,0,7.6,9,25.3,1017.7,27.9,14.7,155,13.6,6,10,2022-11-15T06:48:08,2022-11-15T17:23:24,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42083099999,42079099999,42705299999,42078099999,remote,42105099999"
Himachal Pradesh,16-11-2022,22.1,6.8,12.4,22.1,5.3,12,6.3,68.1,0,0,0,,0,0,10.1,11.2,346.4,1016.1,18.8,13.3,159.7,13.9,6,10,2022-11-16T06:49:00,2022-11-16T17:22:53,0.75,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42705299999,42078099999,remote,42105099999"
