name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Meghalaya,03-11-2022,29,13.1,22.6,32,13.1,23,20,86.1,0,0,0,rain,0,0,7.6,13.7,48.4,1011,73.9,3.5,177.5,15.5,7,10,2022-11-03T05:31:35,2022-11-03T16:40:07,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
Meghalaya,04-11-2022,29,15.1,22.5,32,15.1,22.9,19.9,86.8,0.7,100,4.17,rain,0,0,9.4,16.6,73.9,1013,45.4,3.7,207.3,18,8,10,2022-11-04T05:32:13,2022-11-04T16:39:29,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
Meghalaya,05-11-2022,29,13.3,22.1,32.7,13.3,22.5,19.2,84.7,0,0,0,rain,0,0,6.1,11.9,41.6,1015.2,44.5,5.2,192.5,16.7,8,30,2022-11-05T05:32:52,2022-11-05T16:38:53,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
Meghalaya,06-11-2022,30,12.6,22.1,32.6,12.6,22.5,18.8,83.1,0,0,0,rain,0,0,8.3,10.7,14.7,1014.9,31.9,4.2,204.1,17.5,8,10,2022-11-06T05:33:32,2022-11-06T16:38:17,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
Meghalaya,07-11-2022,30,12.1,21.4,32,12.1,21.7,18.3,84,0,0,0,,0,0,6.8,7.6,58.5,1014.2,44.3,3.3,221.6,19.2,8,10,2022-11-07T05:34:12,2022-11-07T16:37:43,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
Meghalaya,08-11-2022,27,11,19.9,28.2,11,20,16.3,81.5,0,0,0,,0,0,7.2,13.7,72,1014.8,40.8,6,220.9,19.2,8,10,2022-11-08T05:34:52,2022-11-08T16:37:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
Meghalaya,09-11-2022,28,12,20.2,31.3,12,20.3,17.1,84.1,0,0,0,,0,0,6.5,8.7,33.2,1014.7,41.7,5.8,207.6,17.9,8,10,2022-11-09T05:35:33,2022-11-09T16:36:39,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
Meghalaya,10-11-2022,29,12.1,21.2,32,12.1,21.4,17.3,80.7,0,0,0,,0,0,9.4,7.6,91.4,1014.4,46.7,3.8,220.2,19,8,10,2022-11-10T05:36:14,2022-11-10T16:36:09,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
Meghalaya,11-11-2022,29,10.8,20.7,29.8,10.8,20.9,17.4,83.2,0,0,0,,0,0,8.6,9.9,29,1013.9,51.2,3.8,217.3,18.8,8,10,2022-11-11T05:36:55,2022-11-11T16:35:41,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
Meghalaya,12-11-2022,28,10.9,19.7,29.2,10.9,19.8,16.3,82.7,0,0,0,rain,0,0,5,13,31.2,1013.8,44.1,5,179.2,15.5,8,10,2022-11-12T05:37:37,2022-11-12T16:35:13,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
