name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Odisha,03-11-2022,30,23,25.9,34.2,23,27.3,23.3,87,0,0,0,rain,0,0,11.9,9.4,35.8,1012.8,66.5,3.4,219.2,18.9,8,10,2022-11-03T05:49:11,2022-11-03T17:10:57,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,04-11-2022,32,20.9,25.4,34.6,20.9,26.1,21.2,81.2,0,0,0,,0,0,10.8,9.4,330.5,1014.2,22.2,3,247.1,21.4,9,10,2022-11-04T05:49:41,2022-11-04T17:10:28,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,05-11-2022,32,21,26,34.2,21,26.9,21.4,78.5,0,0,0,,0,0,8.6,11.2,264.5,1015.3,35.2,3.4,242.7,21.1,8,10,2022-11-05T05:50:11,2022-11-05T17:10:00,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,06-11-2022,31,22,26.1,34.2,22,27.5,22.9,83.9,0,0,0,,0,0,16.2,10.9,168.8,1015.5,46.9,2.8,238.7,20.5,8,10,2022-11-06T05:50:42,2022-11-06T17:09:33,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,07-11-2022,30.2,22,25.8,36.2,22,27.4,23.2,86.7,0,0,0,,0,0,18.4,11.2,173.5,1014.9,56,2.6,237.2,20.4,8,10,2022-11-07T05:51:13,2022-11-07T17:09:08,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,08-11-2022,30.2,21,25.4,34.2,21,26.6,22.3,84.3,0,0,0,,0,0,16.6,7.6,93.5,1015,40.6,2.5,235.4,20.3,8,10,2022-11-08T05:51:45,2022-11-08T17:08:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,09-11-2022,30,21,24.9,32.8,21,25.7,21.5,83.6,0,0,0,,0,0,12.6,11.2,4.1,1015,26.4,2.6,235.9,20.4,8,10,2022-11-09T05:52:17,2022-11-09T17:08:21,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,10-11-2022,31,20,24.8,32.5,20,25.4,20.4,79.3,0,0,0,,0,0,15.8,14.8,7,1015.1,30.6,3.1,234.8,20.4,8,10,2022-11-10T05:52:50,2022-11-10T17:07:59,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,11-11-2022,30,21.2,24.9,31.7,21.2,25.5,20.2,76.9,0,0,0,,0,0,15.5,13,9.5,1015,57.7,4.1,228.2,19.8,8,10,2022-11-11T05:53:23,2022-11-11T17:07:39,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,remote,42971099999"
Odisha,12-11-2022,30,19,24.3,31.9,19,24.7,19.6,78,0,0,0,,0,0,15.5,9.4,7.4,1014.9,28.9,3.6,233.1,20.2,8,10,2022-11-12T05:53:57,2022-11-12T17:07:20,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43053099999,42970099999,VEBS,remote,42971099999"
Odisha,13-11-2022,30,19,23.6,29.4,19,23.6,17.9,73.8,0,0,0,,0,0,12.2,10.8,15.1,1014.7,13.1,4.8,236,20.4,8,10,2022-11-13T05:54:31,2022-11-13T17:07:02,0.62,Clear,Clear conditions throughout the day.,clear-day,"43053099999,42970099999,VEBS,remote,42971099999"
Odisha,14-11-2022,29,18,22.5,29.2,18,22.6,17.1,75.3,0,0,0,,0,0,17.6,11.2,350.4,1015,1.1,4.7,236.4,20.4,8,10,2022-11-14T05:55:06,2022-11-14T17:06:45,0.66,Clear,Clear conditions throughout the day.,clear-day,"43053099999,42970099999,VEBS,remote,42971099999"
Odisha,15-11-2022,29.2,16.7,22.3,28.8,16.7,22.3,16.2,72,0,0,0,,0,0,15.8,14.8,341.5,1014.4,0.2,5,237.5,20.4,8,10,2022-11-15T05:55:41,2022-11-15T17:06:30,0.7,Clear,Clear conditions throughout the day.,clear-day,"43053099999,42970099999,VEBS,remote,42971099999"
