name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sikkim,03-11-2022,22,-12.3,9.5,22,-15.2,9.1,0.2,57.9,0,0,0,,0,0,50.4,27.7,73.1,1018.5,2.3,18.6,221.5,19.3,8,10,2022-11-03T05:46:59,2022-11-03T16:50:52,0.37,Clear,Clear conditions throughout the day.,clear-day,"VQPR,42398099999,55773099999,42299099999,remote,42296099999"
Sikkim,04-11-2022,23,-7.9,10,23,-7.9,10,1.4,61.9,0,0,0,,0,0,61.2,40.7,50.9,1021.4,27.7,16.2,216.5,18.7,8,10,2022-11-04T05:47:41,2022-11-04T16:50:12,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VQPR,55773099999,42299099999,remote,42296099999"
Sikkim,05-11-2022,23,-9.9,10.3,23,-9.9,10,1.2,60.4,0,0,0,,0,0,44.6,31.7,126.8,1023.9,2.3,16.9,215.1,18.4,8,10,2022-11-05T05:48:23,2022-11-05T16:49:32,0.45,Clear,Clear conditions throughout the day.,clear-day,"VQPR,55773099999,42299099999,remote,42296099999"
Sikkim,06-11-2022,21,-8.3,9.5,21,-8.3,9.3,1.4,62.9,0,0,0,,0,0,50,31.7,121.7,1022.8,7.1,16.9,213,18.4,8,10,2022-11-06T05:49:06,2022-11-06T16:48:54,0.48,Clear,Clear conditions throughout the day.,clear-day,"VQPR,55773099999,42299099999,remote,42296099999"
Sikkim,07-11-2022,20,-8.6,9.7,20,-8.6,9.6,3.4,68.8,0.2,100,8.33,rain,0,0,50.4,31.7,144.2,1021,22.7,16.6,196.6,17,7,10,2022-11-07T05:49:48,2022-11-07T16:48:17,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VQPR,55773099999,42299099999,remote,42296099999"
Sikkim,08-11-2022,21,-7.6,10.9,21,-7.6,10.9,4.6,68.9,0.2,100,8.33,rain,0,0,50.4,20.5,163,1021,41.8,17,185.5,16.1,7,10,2022-11-08T05:50:32,2022-11-08T16:47:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VQPR,55773099999,42299099999,remote,42296099999"
Sikkim,09-11-2022,22,-7.9,10.7,22,-7.9,10.5,4.9,71.2,1,100,33.33,rain,0,0,50.4,22.3,177.8,1020.4,34,16.7,190.4,16.5,7,10,2022-11-09T05:51:15,2022-11-09T16:47:07,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VQPR,42398099999,55773099999,42299099999,remote,42296099999"
Sikkim,10-11-2022,21,-11.3,9.7,21,-11.3,9.3,2.6,67.9,1.3,100,29.17,rain,0,0,57.6,27.7,133.4,1020.9,23.3,17.4,200.3,17.3,7,10,2022-11-10T05:51:59,2022-11-10T16:46:34,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VQPR,55773099999,42299099999,remote,42296099999"
Sikkim,11-11-2022,19,-7.3,9.9,19,-7.3,9.5,4.4,72.4,3.3,100,41.67,rain,0,0,57.6,35.3,153,1019.2,57.8,16.1,190.8,16.4,7,10,2022-11-11T05:52:44,2022-11-11T16:46:02,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VQPR,42398099999,55773099999,42299099999,remote,42296099999"
Sikkim,12-11-2022,18,-6.3,9.1,18,-10,8.5,3.3,70.7,2.3,100,37.5,rain,0,0,43.2,29.5,140.2,1019,63.8,15.6,198.2,17.2,7,10,2022-11-12T05:53:28,2022-11-12T16:45:32,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VQPR,42398099999,55773099999,42299099999,remote,42296099999"
Sikkim,13-11-2022,18,-8.1,8.3,18,-8.1,8.2,2.8,72.7,0.1,100,4.17,rain,0,0,43.2,24.1,79,1019.4,37.9,15.8,192.1,16.7,7,10,2022-11-13T05:54:13,2022-11-13T16:45:04,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VQPR,42398099999,55773099999,42299099999,remote,42296099999"
Sikkim,14-11-2022,19,-9.6,9.5,19,-9.6,9.2,3.4,68.8,0,0,0,,0,0,43.2,20.5,129.4,1019.3,26.3,16.5,191.8,16.6,7,10,2022-11-14T05:54:59,2022-11-14T16:44:36,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,42398099999,55773099999,42299099999,remote,42296099999"
Sikkim,15-11-2022,25.7,-7.8,12.5,25.7,-7.8,12.5,6.3,69,0,0,0,,0,0,57.6,17.2,108.1,1018.1,26.1,14.5,192.9,16.8,7,10,2022-11-15T05:55:44,2022-11-15T16:44:11,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,42398099999,55773099999,42299099999,remote,42296099999"
