name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tamil Nadu,03-11-2022,28.3,23.9,25.7,33.6,23.9,26.9,24.4,92.8,44.689,100,20.83,rain,0,,33.5,22.7,359.5,1010.2,92.1,4.2,111.8,9.7,5,10,2022-11-03T06:03:08,2022-11-03T17:41:32,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,04-11-2022,30,23.7,26.5,36.2,23.7,28.9,24.4,88.9,34.749,100,12.5,rain,0,,22,25.9,20.4,1011.5,73,5,257.7,22.4,9,30,2022-11-04T06:03:27,2022-11-04T17:41:15,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,05-11-2022,30,25,27.5,37.4,25,30.6,24.8,85.7,3.653,100,8.33,rain,0,,26.3,25.9,35.5,1012.9,73.5,4.6,259.7,22.5,9,30,2022-11-05T06:03:46,2022-11-05T17:40:58,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,06-11-2022,30,25,27.8,36.2,25,30.7,23.7,79,0,0,0,rain,0,,28.8,27.5,20.1,1013.2,66.7,5.2,242.7,20.9,8,10,2022-11-06T06:04:06,2022-11-06T17:40:42,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,07-11-2022,29,25.7,26.9,34.5,25.7,29.2,24.3,85.5,32.045,100,8.33,rain,0,,37.1,24.1,343,1012.6,89.2,3.8,228.3,19.6,8,10,2022-11-07T06:04:27,2022-11-07T17:40:27,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,08-11-2022,29,25.2,26.6,36.8,25.2,28.6,24.9,90.4,33.121,100,12.5,rain,0,,28.8,27.2,12.2,1012.2,86.1,3.1,248.8,21.6,9,10,2022-11-08T06:04:48,2022-11-08T17:40:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,09-11-2022,29.7,25,27.2,35.6,25,30.1,24.5,85.6,0,0,0,rain,0,,29.2,27.2,359.8,1011.7,61.3,4.5,237.8,20.5,8,10,2022-11-09T06:05:10,2022-11-09T17:40:01,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,10-11-2022,30,24.6,26.9,36.2,24.6,29.3,24.5,87,16.71,100,12.5,rain,0,,40.3,41,8.9,1010.9,84.3,5.5,221.4,19.2,8,10,2022-11-10T06:05:32,2022-11-10T17:39:49,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999,remote"
Tamil Nadu,11-11-2022,28,23.9,25.8,33.6,23.9,27.6,24.4,91.9,76.805,100,25,rain,0,,48.6,39.3,4.6,1009.7,96.2,2.7,34.4,3,2,30,2022-11-11T06:05:56,2022-11-11T17:39:39,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,12-11-2022,29,25.8,27.1,38.2,25.8,30.9,25.6,91.6,26.427,100,20.83,rain,0,,42.1,18.4,78.1,1010.2,88.5,3.8,175.6,15.1,8,60,2022-11-12T06:06:19,2022-11-12T17:39:30,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil Nadu,13-11-2022,28,23.9,25.7,34.5,23.9,27,24.4,92.8,49.558,100,16.67,rain,0,,16.6,13,354.7,1011.5,91.6,3.9,199.1,17.2,7,30,2022-11-13T06:06:44,2022-11-13T17:39:22,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"VOMM,43279099999,43278099999"
Tamil Nadu,14-11-2022,29,23.6,25.7,36.8,23.6,27.1,24.3,92,26.019,100,20.83,rain,0,,29.5,18.4,17,1012.1,87.5,4,232.2,20.2,8,10,2022-11-14T06:07:08,2022-11-14T17:39:15,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,43278099999"
Tamil Nadu,15-11-2022,30,24.3,26.7,37.4,24.3,29.2,24.3,87,0,0,0,rain,0,,25.6,16.6,35.1,1012.4,58.3,3.6,232.8,20.2,8,10,2022-11-15T06:07:34,2022-11-15T17:39:09,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,16-11-2022,30,23.8,26.9,35.1,23.8,28.7,23.5,82.3,0,0,0,,0,,26.3,18.4,39.8,1011.2,47.7,3.6,253.1,21.7,9,10,2022-11-16T06:08:00,2022-11-16T17:39:04,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,17-11-2022,31,22.1,26.2,35.1,22.1,27.4,21.6,77.1,0,0,0,,0,,27.7,18.4,11.5,1010.8,45.4,4.4,258.8,22.5,9,10,2022-11-17T06:08:26,2022-11-17T17:39:00,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,18-11-2022,30,21.7,26.1,34.1,21.7,27.5,21.7,77.7,0,0,0,rain,0,,32.4,20.5,11.5,1010.9,55.7,4.2,168.9,14.6,8,10,2022-11-18T06:08:54,2022-11-18T17:38:58,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,19-11-2022,29.9,22.2,26.1,32.4,22.2,27.2,21.3,75.7,0,0,0,,0,,36,25.9,14.8,1010.6,51.3,4.7,238.3,20.6,9,10,2022-11-19T06:09:21,2022-11-19T17:38:57,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,20-11-2022,28,21.7,25.2,29.2,21.7,25.7,19.8,72.6,0,0,0,rain,0,,40.3,22.3,2.6,1009.3,69.1,4.6,105,9.1,5,10,2022-11-20T06:09:49,2022-11-20T17:38:57,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,21-11-2022,25,22.5,24,25,22.5,24,21.2,84.5,0.245,100,4.17,rain,0,,47.5,22.3,335.2,1008.6,94.5,3.4,60.7,5.3,3,10,2022-11-21T06:10:18,2022-11-21T17:38:58,0.97,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"VOMM,43279099999,43278099999"
Tamil Nadu,22-11-2022,27,23.4,25.4,30.1,23.4,25.9,22.8,85.8,0,0,0,rain,0,,40,22.3,323.3,1008,88.3,3.9,121.3,10.5,7,10,2022-11-22T06:10:47,2022-11-22T17:39:00,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,23-11-2022,29.7,24.6,27,35.6,24.6,29.9,24.6,86.7,6.53,100,4.17,rain,0,,37.1,25.9,247.2,1008.5,76.9,4.9,71.3,6.2,4,10,2022-11-23T06:11:17,2022-11-23T17:39:03,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,43278099999"
Tamil Nadu,24-11-2022,31,25.4,27.6,37.7,25.4,30.4,24.9,85.8,0.192,100,4.17,rain,0,,14,14.8,136.1,1010.3,60.6,4.2,231.2,19.9,8,10,2022-11-24T06:11:47,2022-11-24T17:39:08,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOMM,43279099999,43278099999"
Tamil Nadu,25-11-2022,31,25.4,27.6,37.7,25.4,30.7,24.8,85,0,0,0,rain,0,,17.6,13,53.6,1011.4,43.3,4.5,242.5,21,9,10,2022-11-25T06:12:17,2022-11-25T17:39:13,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,26-11-2022,31,24.9,27.6,39.1,24.9,31.1,24.7,84.6,0,0,0,rain,0,,20.2,13,48,1010.4,59.2,4.1,238.6,20.5,8,10,2022-11-26T06:12:48,2022-11-26T17:39:20,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,27-11-2022,30,25.5,27.8,38.8,25.5,31.5,25.1,85.5,0.29,100,4.17,rain,0,,19.1,14.8,85.9,1008.7,56.5,3.8,237.5,20.4,8,10,2022-11-27T06:13:19,2022-11-27T17:39:28,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOMM,43279099999,43278099999"
Tamil Nadu,28-11-2022,30,24.2,27,36.8,24.2,29.1,23.8,83.3,0,0,0,rain,0,,24.8,18.4,92.7,1009.4,56.1,3.6,200.7,17.4,8,10,2022-11-28T06:13:50,2022-11-28T17:39:36,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,29-11-2022,30,23.6,26.7,33.3,23.6,27.9,22,76.1,0,0,0,,0,,23,14.8,44.5,1010.7,47.6,4,248.4,21.4,9,10,2022-11-29T06:14:22,2022-11-29T17:39:47,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,30-11-2022,31,22.8,26.7,36.5,22.8,29,22.9,80.1,0,0,0,rain,0,,26.3,14.8,15.7,1011.1,55.5,4.1,237.3,20.4,8,30,2022-11-30T06:14:54,2022-11-30T17:39:58,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil Nadu,01-12-2022,32,25,28,40.5,25,32,25.1,84.5,1.3,100,16.67,rain,0,,21.6,22.3,59.5,1010.5,64.6,3.3,236.2,20.5,8,30,2022-12-01T06:15:26,2022-12-01T17:40:10,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999"
